text,clean_text,sentimen,label
"Belum ada shalat berjamaah di Mesjid ini sejak bencana banjir nasional Aceh Sumatra November 26, 2025Gampong (Desa) Rawe, Lut Tawar Aceh Tengah. BNPB Indonesia dan 4 lainnya 5 293 573",belum ada shalat berjamaah di mesjid ini sejak bencana banjir nasional aceh sumatra november 26 2025gampong desa rawe lut tawar aceh tengah bnpb indonesia dan 4 lainnya 5 293 573,Netral,1
Kebenaran tentang banjir Sumatra Siklon Tropis pada Tahun 2025 Sumber: Death toll after tropical cyclones hit Indonesia's Sumatra rises to 442 - Nikkei Asia 45,kebenaran tentang banjir sumatra siklon tropis pada tahun 2025 sumber death toll after tropical cyclones hit indonesia si sumatra rises tapi 442 nikkei asia 45,Netral,1
"Pemohon menyoroti bencana banjir dan longsor yang melanda Aceh, Sumatra Utara, dan Sumatra Barat, dengan korban meninggal dunia mencapai 1.016 jiwa dan jumlah pengungsi sekitar 850 ribu orang per 15 Desember 2025 UU Penanggulangan Bencana Digugat ke MK, Status Bencana Nasional Jadi Sorotan 165",pemohon menyoroti bencana banjir dan longsor yang melanda aceh sumatra utara dan sumatra barat dengan korban meninggal dunia mencapai 1 016 jiwa dan jumlah pengungsi sekitar 850 ribu orang per 15 desember 2025 uu penanggulangan bencana digugat ke maka status bencana nasional jadi sorotan 165,Netral,1
"Warga Apresiasi Upaya Pemerintah Normalisasi Sungai Batang Kuranji di Sumbar: Bisa Nikmati Jalan Seperti Semula Jakarta - Sungai Batang Kuranji di Padang, Sumatra Barat, meluap hingga menyebabkan banjir bandang pada November 2025 lalu. Warga setempat bernama Asriluju bercerita, 1 493",warga apresiasi upaya pemerintah normalisasi sungai batang kuranji di sumbar bisa nikmati jalan seperti semula jakarta sungai batang kuranji di padang sumatra barat meluap hingga menyebabkan banjir bandang pada november 2025 lalu warga setempat bernama asriluju bercerita 1 493,Positif,2
"Badan Nasional Penanggulangan Bencana (BNPB) terus memperbarui total korban banjir bandang dan tanah longsor di Aceh, Sumatera Utara, dan Sumatera Barat lewat Dashboard Penanganan Darurat Banjir dan Longsor Sumatera Tahun 2025. Hingga Rabu (7/1/2026) pukul 12.50 WIB, tercatat 10",badan nasional penanggulangan bencana bnpb terus memperbarui total korban banjir bandang dan tanah longsor di aceh sumatera utara dan sumatera barat lewat dashboard penanganan darurat banjir dan longsor sumatera tahun 2025 hingga rabu 7 1 2026 pukul 12 50 wib tercatat 10,Netral,1
"UPDATE Inflasi Indonesia Desember 2025 melesat ke 2,92% (tertinggi dalam 20 bulan) akibat bencana banjir di Sumatra yang memicu lonjakan harga pangan. Source: Bloomberg 33",update inflasi indonesia desember 2025 melesat ke 2 92 tertinggi dalam 20 bulan akibat bencana banjir di sumatra yang memicu lonjakan harga pangan source bloomberg 33,Netral,1
"Jembatan Darurat yang dibangun oleh warga Reje Payung Linge ambruk. Relawan hanyut Reje Payung Linge - Aceh Tengah Selasa 06/01/2026. Lebih dari 400 jembatan di Aceh hancur atau rusak akibat Bencana Banjir Aceh - Sumatera November 26, 2025. Banjir Aceh cyclone senyar 19 584 801",jembatan darurat yang dibangun oleh warga reje payung linge ambruk relawan hanyut reje payung linge aceh tengah selasa 06 01 2026 lebih dari 400 jembatan di aceh hancur atau rusak akibat bencana banjir aceh sumatera november 26 2025 banjir aceh cyclone senyar 19 584 801,Negatif,0
KONDISI pendidikan di Provinsi Aceh pascabanjir pada November 2025 masih memprihatinkan dan memerlukan pemulihan segera serta terarah. UGM Gandeng Media Group Pulihkan Pendidikan Anak Korban Banjir Sumatra 139,kondisi pendidikan di provinsi aceh pascabanjir pada november 2025 masih memprihatinkan dan memerlukan pemulihan segera serta terarah ugm gandeng media group pulihkan pendidikan anak korban banjir sumatra 139,Negatif,0
Alhamdulillahi bini'matihi tatimmush sholihaat. Penyaluran Bantuan Bencana Banjir di Sumatra Bulan Desember 2025. Total Penyaluran Rp 374.117.686 Kami ucapkan Jazakumullah Khairan untuk Para muhsinin dan tim relawan cinta sedekah. Semoga bisa menjadi amal jariyah antum semua. 27,alhamdulillahi bini matihi tatimmush sholihaat penyaluran bantuan bencana banjir di sumatra bulan desember 2025 total penyaluran rp 374 117 686 kami ucapkan jazakumullah khairan untuk para muhsinin dan tim relawan cinta sedekah semoga bisa menjadi amal jariyah antum semua 27,Positif,2
Otomatis oleh @xra_id Halo teman-teman. Kami ingin menyampaikan update bahwa bantuan untuk saudara-saudara kita yang terdampak bencana banjir dan longsor di Sumatra & Aceh telah berhasil didistribusikan. Total donasi sebesar Rp 2.334.668 telah disalurkan pada 22–27 Desember 2025 ke sejumlah desa 1 18 229,otomatis oleh halo teman teman kami ingin menyampaikan update bahwa bantuan untuk saudara saudara kita yang terdampak bencana banjir dan longsor di sumatra aceh telah berhasil didistribusikan total donasi sebesar rp 2 334 668 telah disalurkan pada 22 27 desember 2025 ke sejumlah desa 1 18 229,Positif,2
@tinaberkata TL;DR Pengelolaan bencana di lapangn sudah mulai terorganisir dengan baik. MPBI bermitra dengan BNPB mendorong prinsip kemitraan untuk merangkul berbagai pihak yang peduli pada Bencana Banjir Bandang Sumatra 2025. MPBI juga telah menyusun rancangan program hingga recovery 15,tl dari pengelolaan bencana di lapangn sudah mulai terorganisir dengan baik mpbi bermitra dengan bnpb mendorong prinsip kemitraan untuk merangkul berbagai pihak yang peduli pada bencana banjir bandang sumatra 2025 mpbi juga telah menyusun rancangan program hingga recovery 15,Positif,2
"Provinsi Aceh, Sumatra Utara, dan Sumatra Barat menjadi kelompok provinsi dengan tingkat inflasi bulanan tertinggi pada Desember 2025. Itu terjadi akibat bencana banjir dan longsor pada akhir November 2025. Inflasi Tinggi di Wilayah Bencana Tanda Pasokan Pangan Terganggu 1 152",provinsi aceh sumatra utara dan sumatra barat menjadi kelompok provinsi dengan tingkat inflasi bulanan tertinggi pada desember 2025 itu terjadi akibat bencana banjir dan longsor pada akhir november 2025 inflasi tinggi di wilayah bencana tanda pasokan pangan terganggu 1 152,Negatif,0
"Keserakahan yang Membawa Malapetaka BENCANA banjir dan tanah longsor yang melanda Aceh, Sumatera Utara, dan Sumatra Barat pada 26-27 November 2025 lalu masih meninggalkan lara di hati insan, khususnya mereka yang tertimpa musibah. Keserakahan yang Membawa Malapetaka - Serambinews. 69",keserakahan yang membawa malapetaka bencana banjir dan tanah longsor yang melanda aceh sumatera utara dan sumatra barat pada 26 27 november 2025 lalu masih meninggalkan lara di hati insan khususnya mereka yang tertimpa musibah keserakahan yang membawa malapetaka serambinews 69,Positif,2
"@voxindonesia_id Fenomena sinkhole ini diduga dipicu hujan lebat berkepanjangan yang mengerosi tanah porous di wilayah vulkanik Sumatra Barat, terutama setelah banjir bandang dan longsor besar pada Desember 2025 yang melemahkan struktur tanah di banyak area pertanian. 1 226",fenomena sinkhole ini diduga dipicu hujan lebat berkepanjangan yang mengerosi tanah porous di wilayah vulkanik sumatra barat terutama setelah banjir bandang dan longsor besar pada desember 2025 yang melemahkan struktur tanah di banyak area pertanian 1 226,Netral,1
@rimapurwasih gue pernah lewat atas sumatra pas terbang naik pesawat dan pernah batin: ini kok banyak ditebang ya pohonnya apa ga bahaya. baru pas 2025 kemarin banjir gede 358,gue pernah lewat atas sumatra pas terbang naik pesawat dan pernah batin ini kok banyak ditebang ya pohonnya apa enggak bahaya baru pas 2025 kemarin banjir gede 358,Negatif,0
"Akun parodi Presiden Prabowo Subianto menegaskan kehadiran negara di tengah rakyat melalui rangkaian langkah nyata pascabencana di Sumatra. Mengawali pergantian tahun 2025–2026, Prabowo memilih berada bersama warga terdampak banjir di Tapanuli Selatan sebagai wujud empati dan tanggung jawab 1 1 279",akun parodi presiden prabowo subianto menegaskan kehadiran negara di tengah rakyat melalui rangkaian langkah nyata pascabencana di sumatra mengawali pergantian tahun 2025 2026 prabowo memilih berada bersama warga terdampak banjir di tapanuli selatan sebagai wujud empati dan tanggung jawab 1 1 279,Positif,2
"Misi Kemanusiaan MER-C untuk Sumatra: 150 Relawan, Ribuan Paket Bantuan, Puluhan Desa Terjangkau Indonesia menutup tahun 2025 dengan duka di tengah bencana banjir dan tanah longsor yang melanda wilayah Sumatra. Sebanyak 1.154 jiwa meninggal dunia, 165 jiwa masih hilang, 52 1 19 37 779",misi kemanusiaan mer sih untuk sumatra 150 relawan ribuan paket bantuan puluhan desa terjangkau indonesia menutup tahun 2025 dengan duka di tengah bencana banjir dan tanah longsor yang melanda wilayah sumatra sebanyak 1 154 jiwa meninggal dunia 165 jiwa masih hilang 52 1 19 37 779,Positif,2
"Hari Ibu 2025, Meutya Hafid Ajak Jajaran Kemkomdigi Tunjukkan Empati bagi Korban Banjir di Sumatra #bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia Berita Golkar - Hari Ibu 2025, Meutya Hafid Ajak Jajaran Kemkomdigi Tunjukkan Empati bagi Korban... 1 1 64",hari ibu 2025 meutya hafid ajak jajaran kemkomdigi tunjukkan empati bagi korban banjir di sumatra bahlillahadalia kuningkeren golkarindonesia partaigolkar golkarpedia berita golkar hari ibu 2025 meutya hafid ajak jajaran kemkomdigi tunjukkan empati bagi korban 1 1 64,Positif,2
"PT Pertamina International Shipping (PIS) sebagai bagian dari Pertamina Group, terus menunjukkan komitmen dalam membantu masyarakat terdampak bencana banjir yang melanda wilayah provinsi Aceh, Sumatra Utara, dan Sumatra Barat, sejak 26 November 2025 lalu. 51",pt pertamina international shipping pis sebagai bagian dari pertamina group terus menunjukkan komitmen dalam membantu masyarakat terdampak bencana banjir yang melanda wilayah provinsi aceh sumatra utara dan sumatra barat sejak 26 november 2025 lalu 51,Positif,2
"Tim gabungan masih terus melakukan pencarian korban banjir dan longsor yang melanda Aceh, Sumatra Utara (Sumut), dan Sumatra Barat (Sumbar). Hingga Kamis (1/1/2025), tiga jasad tambahan ditemukan di Aceh Utara. Kepala Pusat Data, Informasi dan Komunikasi Kebencanaan BNPB, Abdul 72",tim gabungan masih terus melakukan pencarian korban banjir dan longsor yang melanda aceh sumatra utara sumut dan sumatra barat sumbar hingga kamis 1 1 2025 tiga jasad tambahan ditemukan di aceh utara kepala pusat data informasi dan komunikasi kebencanaan bnpb abdul 72,Netral,1
"Badan Nasional Penanggulangan Bencana (BNPB) terus memperbarui total korban banjir bandang dan tanah longsor di Aceh, Sumatera Utara, dan Sumatera Barat lewat Dashboard Penanganan Darurat Banjir dan Longsor Sumatera Tahun 2025. Hingga Jumat (2/1/2026) pukul 09.40 WIB, tercatat 17 903",badan nasional penanggulangan bencana bnpb terus memperbarui total korban banjir bandang dan tanah longsor di aceh sumatera utara dan sumatera barat lewat dashboard penanganan darurat banjir dan longsor sumatera tahun 2025 hingga jumat 2 1 2026 pukul 09 40 wib tercatat 17 903,Netral,1
Pemerintah Kabupaten Tangerang kembali menyalurkan bantuan kemanusiaan tahap kedua untuk korban banjir bandang di Sumatra pada Selasa (30/12/2025). 1 79,pemerintah kabupaten tangerang kembali menyalurkan bantuan kemanusiaan tahap kedua untuk korban banjir bandang di sumatra pada selasa 30 12 2025 1 79,Positif,2
"demo besar bln Agustus, penabrakan ojek ( Affan) penangkapan aktivis, Keracunan MBG, Polemik ijazah jokowi, bencana banjir & longsor di Sumatera, penemuan gelondongan kayu di balik becana Sumatra. tolong pak presiden 2026 harus ada perubahan. 61",demo besar bulan agustus penabrakan ojek affan penangkapan aktivis keracunan mbak polemik ijazah jokowi bencana banjir longsor di sumatera penemuan gelondongan kayu di balik becana sumatra tolong pak presiden 2026 harus ada perubahan 61,Negatif,0
"Akun komentar Meski tahun ini diakhiri duka besar bagi saudara kita di Sumatra akibat banjir dan longsor, semoga segera bangkit dan kita semua lebih bijak menjaga alam. Thankyou 2025 ~ Welcome 2026 1 5 214",akun komentar meski tahun ini diakhiri duka besar bagi saudara kita di sumatra akibat banjir dan longsor semoga segera bangkit dan kita semua lebih bijak menjaga alam thankyou 2025 welcome 2026 1 5 214,Positif,2
"Dari ruang kelas yang sempat terendam, kini kembali bersih dan tertata. #SobatBelajar, akhir November 2025, banjir bandang dan tanah longsor melanda sejumlah wilayah di Sumatra, berdampak pada ribuan satuan pendidikan serta puluhan ribu siswa, guru, dan tenaga kependidikan. 4 2 5",dari ruang kelas yang sempat terendam kini kembali bersih dan tertata sobatbelajar akhir november 2025 banjir bandang dan tanah longsor melanda sejumlah wilayah di sumatra berdampak pada ribuan satuan pendidikan serta puluhan ribu siswa guru dan tenaga kependidikan 4 2 5,Positif,2
DKI Jakarta Salurkan Bantuan Air Bersih ke Wilayah Terdampak Banjir dan Longsor Sumatra ‎DKI Jakarta Salurkan Bantuan Air Bersih ke Wilayah Terdampak Banjir dan Longsor Sumatra 53,dki jakarta salurkan bantuan air bersih ke wilayah terdampak banjir dan longsor sumatra dki jakarta salurkan bantuan air bersih ke wilayah terdampak banjir dan longsor sumatra 53,Positif,2
"Menutup tahun 2025, Presiden Prabowo Subianto kembali menunjukkan komitmen kepemimpinan yang hadir di tengah rakyat. Presiden Prabowo Subianto melakukan peninjauan ke wilayah terdampak bencana banjir di Pulau Sumatra pada Rabu (31/12/2025). 1 68",menutup tahun 2025 presiden prabowo subianto kembali menunjukkan komitmen kepemimpinan yang hadir di tengah rakyat presiden prabowo subianto melakukan peninjauan ke wilayah terdampak bencana banjir di pulau sumatra pada rabu 31 12 2025 1 68,Positif,2
"@goentz1 Presiden Prabowo Subianto meninjau progres pembangunan Jembatan Bailey Sungai Garoga, Tapanuli Selatan, Sumatra Utara, Rabu (31/12/2025). Jembatan tersebut dibangun sebagai akses darurat setelah infrastruktur utama terputus akibat banjir bandang. 1 34",presiden prabowo subianto meninjau progres pembangunan jembatan bailey sungai garoga tapanuli selatan sumatra utara rabu 31 12 2025 jembatan tersebut dibangun sebagai akses darurat setelah infrastruktur utama terputus akibat banjir bandang 1 34,Netral,1
"Menutup tahun 2025, Presiden Prabowo Subianto kembali turun langsung ke lapangan untuk meninjau wilayah terdampak banjir di Pulau Sumatra, Rabu (31/12/2025). 1 58",menutup tahun 2025 presiden prabowo subianto kembali turun langsung ke lapangan untuk meninjau wilayah terdampak banjir di pulau sumatra rabu 31 12 2025 1 58,Positif,2
"Menutup tahun 2025, Presiden Prabowo Subianto kembali menunjukkan komitmen kepemimpinannya yang berpihak pada rakyat dengan melakukan kunjungan ke wilayah terdampak bencana banjir di Pulau Sumatra, Rabu (31/12/2025). Ini merupakan kunjungan kelima Presiden ke lokasi bencana guna 4 23 21",menutup tahun 2025 presiden prabowo subianto kembali menunjukkan komitmen kepemimpinannya yang berpihak pada rakyat dengan melakukan kunjungan ke wilayah terdampak bencana banjir di pulau sumatra rabu 31 12 2025 ini merupakan kunjungan kelima presiden ke lokasi bencana guna 4 23 21,Positif,2
@oliolinev banjir sumatra pas ldi 2025 ternyata adalah suatu pertanda 16,banjir sumatra pas ldi 2025 ternyata adalah suatu pertanda 16,Negatif,0
"Penghujung Tahun, Presiden Prabowo Kembali Turun ke Lapangan Pastikan Pemulihan Pascabencana di Sumatra Menutup tahun 2025, Presiden Prabowo Subianto kembali melakukan peninjauan ke wilayah terdampak bencana banjir di Pulau Sumatra, Rabu (31/12/2025). Kunjungan ini menjadi yang 3 14 31",penghujung tahun presiden prabowo kembali turun ke lapangan pastikan pemulihan pascabencana di sumatra menutup tahun 2025 presiden prabowo subianto kembali melakukan peninjauan ke wilayah terdampak bencana banjir di pulau sumatra rabu 31 12 2025 kunjungan ini menjadi yang 3 14 31,Positif,2
"Respons Muhammadiyah untuk Sumatra Barat Hingga 29 Desember 2025, Muhammadiyah melalui MDMC dan Lazismu terus bergerak cepat dalam penanganan bencana banjir bandang dan longsor di Sumatra Barat. #Lazismu #Muhammadiyah #Memberiuntuknegeri #Indonesiasiaga 6 12 362",respons muhammadiyah untuk sumatra barat hingga 29 desember 2025 muhammadiyah melalui mdmc dan lazismu terus bergerak cepat dalam penanganan bencana banjir bandang dan longsor di sumatra barat lazismu muhammadiyah memberiuntuknegeri indonesiasiaga 6 12 362,Positif,2
"@goentz1 Menutup tahun 2025, Presiden Prabowo Subianto kembali menunjukkan komitmen kepemimpinan yang hadir di tengah rakyat. Presiden Prabowo Subianto melakukan peninjauan ke wilayah terdampak bencana banjir di Pulau Sumatra, Rabu (31/12/2025). 44",menutup tahun 2025 presiden prabowo subianto kembali menunjukkan komitmen kepemimpinan yang hadir di tengah rakyat presiden prabowo subianto melakukan peninjauan ke wilayah terdampak bencana banjir di pulau sumatra rabu 31 12 2025 44,Positif,2
"Deforestasi, Banjir, dan Kegagalan Politik Hukum Pengelolaan Hutan Banjir besar yang kembali melanda wilayah Aceh dan Sumatra bagian tengah pada awal tahun 2025 tidak dapat dipandang semata-mata sebagai akibat cuaca ekstrem atau perubahan iklim global. view a thread 1 41",deforestasi banjir dan kegagalan politik hukum pengelolaan hutan banjir besar yang kembali melanda wilayah aceh dan sumatra bagian tengah pada awal tahun 2025 tidak dapat dipandang semata mata sebagai akibat cuaca ekstrem atau perubahan iklim global view a thread 1 41,Negatif,0
Peristiwa sebulan terakhir di tahun 2025 yang dar der dor Banjir Sumatra dan Aceh Menelan > 1100 Korban Jiwa dan 300ribu Mengungsi Habitat Gajah Diperkirakan Menyusut hingga 66% Dampak Sumatra Darurat Biodiversitas Oknum TNI Merampas HP Wartawan di Aceh Utara krn 4 401 645,peristiwa sebulan terakhir di tahun 2025 yang dar der dor banjir sumatra dan aceh menelan 1100 korban jiwa dan 300ribu mengungsi habitat gajah diperkirakan menyusut hingga 66 dampak sumatra darurat biodiversitas oknum tni merampas hp wartawan di aceh utara karena 4 401 645,Negatif,0
"Hingga akhir Desember 2025, tercatat sebanyak 47.149 unit rumah mengalami rusak berat akibat banjir dan tanah longsor di Aceh, dan Sumatra #Ekonomi #AdadiKompas app.komp.as Kompas. Kompas - Amanat Hati Nurani Rakyat. Mengulas fenomena dari berbagai sudut, dengan metode jurnalistik dan penelitian yang profesional. Sejak 1965, Kompas dipercaya Indonesia mengabarkan berita seputar... 75",hingga akhir desember 2025 tercatat sebanyak 47 149 unit rumah mengalami rusak berat akibat banjir dan tanah longsor di aceh dan sumatra ekonomi adadikompas app komp as kompas kompas amanat hati nurani rakyat mengulas fenomena dari berbagai sudut dengan metode jurnalistik dan penelitian yang profesional sejak 1965 kompas dipercaya indonesia mengabarkan berita seputar 75,Negatif,0
"Kritik Bencana Banjir Sumatra dan Utang PLN, Influencer Sherly Annavita hingga DJ Donny Diteror - Kritik Bencana Banjir Sumatra dan Utang PLN, Influencer Sherly Annavita hingga DJ Donny Diteror 1 7 12 884",kritik bencana banjir sumatra dan utang pln influencer sherly annavita hingga dj donny diteror kritik bencana banjir sumatra dan utang pln influencer sherly annavita hingga dj donny diteror 1 7 12 884,Negatif,0
"@tempodotco Sejenak netizen dibelokka perhatiannya pada kasus banjir bandang sumatra, jurus biasa yg dilakukan spt kasus pagar laut dll 2 47",sejenak netizen dibelokka perhatiannya pada kasus banjir bandang sumatra jurus biasa yang dilakukan seperti kasus pagar laut dll 2 47,Negatif,0
"@iPopBase Ah baru banjir biasa, Belum bandang ke Sumatra... 6",ah baru banjir biasa belum bandang ke sumatra 6,Negatif,0
"kok pada kaget PIK banjir... daerah pesisir yg dulunya didominasi rawa, lalu mendadak jadi hunian, trus banjir dikala hujan itu lumrah... jadi bukan salah hujannya... klw PIK banjir masih nyalahin hujan, pantas banjir bandang di Sumatra masih dipandang sebagai bencana alam... 3 217",kok pada kaget pik banjir daerah pesisir yang dulunya didominasi rawa lalu mendadak jadi hunian terus banjir dikala hujan itu lumrah jadi bukan salah hujannya kalau pik banjir masih menyalahkan hujan pantas banjir bandang di sumatra masih dipandang sebagai bencana alam 3 217,Negatif,0
"Setelah Sumatra subduksi dalam lalu muncul subduksi kedalaman menengah, skala lebih besar Waspada Dicatat dulu 12 Januari 2026 3 158",setelah sumatra subduksi dalam lalu muncul subduksi kedalaman menengah skala lebih besar waspada dicatat dulu 12 januari 2026 3 158,Netral,1
Mari kita bergotong royong untuk penangan banjir bandang Sumatra @PrabowoSubianto @GibranRakabuming @YandriSusanto @ArizaPatria @KementerianDesaPDT @BPSDMKemendesaPDT @DesaPesonaNusantara #HariDesaNasional2026 #PendampingDesaHebat #TPPKemendesaPDT #TPPProvinsiAceh 84,mari kita bergotong royong untuk penangan banjir bandang sumatra haridesanasional2026 pendampingdesahebat tppkemendesapdt tppprovinsiaceh 84,Positif,2
"@Jateng_Twit RIP untuk Indonesia,banjir bandang banyak terjadi di mana-mana.sumatra belum kelar susul menyusul daerah lain.stay safe yang di kudus.. 1 7",rip untuk indonesia banjir bandang banyak terjadi di mana mana sumatra belum kelar susul menyusul daerah lain stay safe yang di kudus 1 7,Negatif,0
"@NenkMonica Viralin bahaya tuh..? Waduuh..! Itu orang utan pada jatuh klimpungan kasian banget, itu pohon belum dewasa di tebangin, mengakibatkan Banjir Bandang tuh Kaya Sumatra 82",viralin bahaya tuh waduuh itu orang utan pada jatuh klimpungan kasihan banget itu pohon belum dewasa di tebangin mengakibatkan banjir bandang tuh kayak sumatra 82,Negatif,0
"Residents trapped inside homes during flooding - Pasar Hewan area, Rejang Lebong, Bengkulu, Sumatra, Indonesia - 08 January 2026 1 1 43",residents trapped inside homes during flooding pasar hewan area rejang lebong bengkulu sumatra indonesia 08 january 2026 1 1 43,Netral,1
"Pemerintah Hadir langsung di lokasi, bareng-bareng ngebut pemulihan pasca banjir bandang di Aceh Dari normalisasi sungai sampai infrastruktur, langkah cepat ini bukti Pemerintah Bareng Warga buat dorong Aceh Sumatra Pulih #FYP #BeritaTerkini #IndonesiaBangkit 27",pemerintah hadir langsung di lokasi bareng bareng ngebut pemulihan pasca banjir bandang di aceh dari normalisasi sungai sampai infrastruktur langkah cepat ini bukti pemerintah bareng warga buat dorong aceh sumatra pulih fyp beritaterkini indonesiabangkit 27,Positif,2
"Penanganan banjir bandang di Aceh terus berjalan, Kejagung melalui Satgas PKH fokus di titik rawan Sungai Krueng Meureudu demi mengurangi risiko dan memulihkan fungsi alam #TanggapBencana #Sumatra 28",penanganan banjir bandang di aceh terus berjalan kejagung melalui satgas pkh fokus di titik rawan sungai krueng meureudu demi mengurangi risiko dan memulihkan fungsi alam tanggapbencana sumatra 28,Positif,2
@FaGtng Mas gibran tolong kasih mereka jabatan bersihkan lumpur banjir bandang di sumatra dan aceh 49,mas gibran tolong kasih mereka jabatan bersihkan lumpur banjir bandang di sumatra dan aceh 49,Negatif,0
"Sinergi tanpa batas! Pemerintah Bareng Warga bergotong royong memulihkan infrastruktur pasca banjir bandang di Pidie Jaya. Dengan langkah nyata pembersihan sedimen dan kayu, kini Aceh Sumatra Bangkit menatap masa depan yang lebih aman. 43",sinergi tanpa batas pemerintah bareng warga bergotong royong memulihkan infrastruktur pasca banjir bandang di pidie jaya dengan langkah nyata pembersihan sedimen dan kayu kini aceh sumatra bangkit menatap masa depan yang lebih aman 43,Positif,2
