text,reconstructed_text,clean_text,label
"Belum ada shalat berjamaah di Mesjid ini sejak bencana banjir nasional Aceh Sumatra November 26, 2025Gampong (Desa) Rawe, Lut Tawar Aceh Tengah. BNPB Indonesia dan 4 lainnya 5 293 573","Belum ada shalat berjamaah di Mesjid ini sejak bencana banjir nasional Aceh Sumatra November 26, 2025Gampong (Desa) Rawe, Lut Tawar Aceh Tengah. BNPB Indonesia dan 4 lainnya 5 293 573","belum ada shalat berjamaah mesjid sejak bencana banjir nasional aceh sumatra november 26, 2025gampong desa rawe, lut tawar aceh tengah. bnpb indonesia lainnya 293 573",1
Kebenaran tentang banjir Sumatra Siklon Tropis pada Tahun 2025 Sumber: Death toll after tropical cyclones hit Indonesia's Sumatra rises to 442 - Nikkei Asia 45,Kebenaran tentang banjir Sumatra Siklon Tropis pada Tahun 2025 Sumber: Death toll after tropical cyclones hit Indonesia's Sumatra rises to 442 - Nikkei Asia 45,kebenaran tentang banjir sumatra siklon tropis tahun 2025 sumber death toll after tropical cyclones hit indonesia si sumatra rises tapi 442 nikkei asia 45,1
"Pemohon menyoroti bencana banjir dan longsor yang melanda Aceh, Sumatra Utara, dan Sumatra Barat, dengan korban meninggal dunia mencapai 1.016 jiwa dan jumlah pengungsi sekitar 850 ribu orang per 15 Desember 2025 UU Penanggulangan Bencana Digugat ke MK, Status Bencana Nasional Jadi Sorotan 165","Pemohon menyoroti bencana banjir dan longsor yang melanda Aceh, Sumatra Utara, dan Sumatra Barat, dengan korban meninggal dunia mencapai 1.016 jiwa dan jumlah pengungsi sekitar 850 ribu orang per 15 Desember 2025 UU Penanggulangan Bencana Digugat ke MK, Status Bencana Nasional Jadi Sorotan 165","pemohon menyoroti bencana banjir longsor melanda aceh, sumatra utara, sumatra barat, korban meninggal dunia mencapai 1.016 jiwa jumlah pengungsi sekitar 850 ribu orang per 15 desember 2025 uu penanggulangan bencana digugat mk, status bencana nasional jadi sorotan 165",1
"Warga Apresiasi Upaya Pemerintah Normalisasi Sungai Batang Kuranji di Sumbar: Bisa Nikmati Jalan Seperti Semula Jakarta - Sungai Batang Kuranji di Padang, Sumatra Barat, meluap hingga menyebabkan banjir bandang pada November 2025 lalu. Warga setempat bernama Asriluju bercerita, 1 493","Warga Apresiasi Upaya Pemerintah Normalisasi Sungai Batang Kuranji di Sumbar: Bisa Nikmati Jalan Seperti Semula Jakarta - Sungai Batang Kuranji di Padang, Sumatra Barat, meluap hingga menyebabkan banjir bandang pada November 2025 lalu. Warga setempat bernama Asriluju bercerita, 1 493","warga apresiasi upaya pemerintah normalisasi sungai batang kuranji sumbar bisa nikmati jalan seperti semula jakarta sungai batang kuranji padang, sumatra barat, meluap hingga menyebabkan banjir bandang november 2025 lalu. warga setempat bernama asriluju bercerita, 493",2
"Badan Nasional Penanggulangan Bencana (BNPB) terus memperbarui total korban banjir bandang dan tanah longsor di Aceh, Sumatera Utara, dan Sumatera Barat lewat Dashboard Penanganan Darurat Banjir dan Longsor Sumatera Tahun 2025. Hingga Rabu (7/1/2026) pukul 12.50 WIB, tercatat 10","Badan Nasional Penanggulangan Bencana (BNPB) terus memperbarui total korban banjir bandang dan tanah longsor di Aceh, Sumatera Utara, dan Sumatera Barat lewat Dashboard Penanganan Darurat Banjir dan Longsor Sumatera Tahun 2025. Hingga Rabu (7/1/2026) pukul 12.50 WIB, tercatat 10","badan nasional penanggulangan bencana bnpb terus memperbarui total korban banjir bandang tanah longsor aceh, sumatera utara, sumatera barat lewat dashboard penanganan darurat banjir longsor sumatera tahun 2025. hingga rabu 2026 pukul 12.50 wib, tercatat 10",1
"UPDATE Inflasi Indonesia Desember 2025 melesat ke 2,92% (tertinggi dalam 20 bulan) akibat bencana banjir di Sumatra yang memicu lonjakan harga pangan. Source: Bloomberg 33","UPDATE Inflasi Indonesia Desember 2025 melesat ke 2,92% (tertinggi dalam 20 bulan) akibat bencana banjir di Sumatra yang memicu lonjakan harga pangan. Source: Bloomberg 33","update inflasi indonesia desember 2025 melesat 2,92 tertinggi dalam 20 bulan akibat bencana banjir sumatra memicu lonjakan harga pangan. source bloomberg 33",1
"Jembatan Darurat yang dibangun oleh warga Reje Payung Linge ambruk. Relawan hanyut Reje Payung Linge - Aceh Tengah Selasa 06/01/2026. Lebih dari 400 jembatan di Aceh hancur atau rusak akibat Bencana Banjir Aceh - Sumatera November 26, 2025. Banjir Aceh cyclone senyar 19 584 801","Jembatan Darurat yang dibangun oleh warga Reje Payung Linge ambruk. Relawan hanyut Reje Payung Linge - Aceh Tengah Selasa 06/01/2026. Lebih dari 400 jembatan di Aceh hancur atau rusak akibat Bencana Banjir Aceh - Sumatera November 26, 2025. Banjir Aceh cyclone senyar 19 584 801","jembatan darurat dibangun oleh warga reje payung linge ambruk. relawan hanyut reje payung linge aceh tengah selasa 06 01 2026. lebih 400 jembatan aceh hancur rusak akibat bencana banjir aceh sumatera november 26, 2025. banjir aceh cyclone senyar 19 584 801",0
KONDISI pendidikan di Provinsi Aceh pascabanjir pada November 2025 masih memprihatinkan dan memerlukan pemulihan segera serta terarah. UGM Gandeng Media Group Pulihkan Pendidikan Anak Korban Banjir Sumatra 139,KONDISI pendidikan di Provinsi Aceh pascabanjir pada November 2025 masih memprihatinkan dan memerlukan pemulihan segera serta terarah. UGM Gandeng Media Group Pulihkan Pendidikan Anak Korban Banjir Sumatra 139,kondisi pendidikan provinsi aceh pascabanjir november 2025 masih memprihatinkan memerlukan pemulihan segera terarah. ugm gandeng media group pulihkan pendidikan anak korban banjir sumatra 139,0
Alhamdulillahi bini'matihi tatimmush sholihaat. Penyaluran Bantuan Bencana Banjir di Sumatra Bulan Desember 2025. Total Penyaluran Rp 374.117.686 Kami ucapkan Jazakumullah Khairan untuk Para muhsinin dan tim relawan cinta sedekah. Semoga bisa menjadi amal jariyah antum semua. 27,Alhamdulillahi bini'matihi tatimmush sholihaat. Penyaluran Bantuan Bencana Banjir di Sumatra Bulan Desember 2025. Total Penyaluran Rp 374.117.686 Kami ucapkan Jazakumullah Khairan untuk Para muhsinin dan tim relawan cinta sedekah. Semoga bisa menjadi amal jariyah antum semua. 27,alhamdulillahi bini matihi tatimmush sholihaat. penyaluran bantuan bencana banjir sumatra bulan desember 2025. total penyaluran rp 374.117.686 ucapkan jazakumullah khairan para muhsinin tim relawan cinta sedekah. semoga bisa menjadi amal jariyah antum semua. 27,2
Otomatis oleh @xra_id Halo teman-teman. Kami ingin menyampaikan update bahwa bantuan untuk saudara-saudara kita yang terdampak bencana banjir dan longsor di Sumatra & Aceh telah berhasil didistribusikan. Total donasi sebesar Rp 2.334.668 telah disalurkan pada 22–27 Desember 2025 ke sejumlah desa 1 18 229,Otomatis oleh @xra_id Halo teman-teman. Kami ingin menyampaikan update bahwa bantuan untuk saudara-saudara kita yang terdampak bencana banjir dan longsor di Sumatra & Aceh telah berhasil didistribusikan. Total donasi sebesar Rp 2.334.668 telah disalurkan pada 22–27 Desember 2025 ke sejumlah desa 1 18 229,otomatis oleh halo teman-teman. ingin menyampaikan update bahwa bantuan saudara-saudara terdampak bencana banjir longsor sumatra aceh berhasil didistribusikan. total donasi sebesar rp 2.334.668 disalurkan 22–27 desember 2025 sejumlah desa 18 229,2
@tinaberkata TL;DR Pengelolaan bencana di lapangn sudah mulai terorganisir dengan baik. MPBI bermitra dengan BNPB mendorong prinsip kemitraan untuk merangkul berbagai pihak yang peduli pada Bencana Banjir Bandang Sumatra 2025. MPBI juga telah menyusun rancangan program hingga recovery 15,@tinaberkata TL;DR Pengelolaan bencana di lapangn sudah mulai terorganisir dengan baik. MPBI bermitra dengan BNPB mendorong prinsip kemitraan untuk merangkul berbagai pihak yang peduli pada Bencana Banjir Bandang Sumatra 2025. MPBI juga telah menyusun rancangan program hingga recovery 15,tl pengelolaan bencana lapangn sudah mulai terorganisir baik. mpbi bermitra bnpb mendorong prinsip kemitraan merangkul berbagai pihak peduli bencana banjir bandang sumatra 2025. mpbi juga menyusun rancangan program hingga recovery 15,2
"Provinsi Aceh, Sumatra Utara, dan Sumatra Barat menjadi kelompok provinsi dengan tingkat inflasi bulanan tertinggi pada Desember 2025. Itu terjadi akibat bencana banjir dan longsor pada akhir November 2025. Inflasi Tinggi di Wilayah Bencana Tanda Pasokan Pangan Terganggu 1 152","Provinsi Aceh, Sumatra Utara, dan Sumatra Barat menjadi kelompok provinsi dengan tingkat inflasi bulanan tertinggi pada Desember 2025. Itu terjadi akibat bencana banjir dan longsor pada akhir November 2025. Inflasi Tinggi di Wilayah Bencana Tanda Pasokan Pangan Terganggu 1 152","provinsi aceh, sumatra utara, sumatra barat menjadi kelompok provinsi tingkat inflasi bulanan tertinggi desember 2025. terjadi akibat bencana banjir longsor akhir november 2025. inflasi tinggi wilayah bencana tanda pasokan pangan terganggu 152",0
"Keserakahan yang Membawa Malapetaka BENCANA banjir dan tanah longsor yang melanda Aceh, Sumatera Utara, dan Sumatra Barat pada 26-27 November 2025 lalu masih meninggalkan lara di hati insan, khususnya mereka yang tertimpa musibah. Keserakahan yang Membawa Malapetaka - Serambinews. 69","Keserakahan yang Membawa Malapetaka BENCANA banjir dan tanah longsor yang melanda Aceh, Sumatera Utara, dan Sumatra Barat pada 26-27 November 2025 lalu masih meninggalkan lara di hati insan, khususnya mereka yang tertimpa musibah. Keserakahan yang Membawa Malapetaka - Serambinews. 69","keserakahan membawa malapetaka bencana banjir tanah longsor melanda aceh, sumatera utara, sumatra barat 26-27 november 2025 lalu masih meninggalkan lara hati insan, khususnya tertimpa musibah. keserakahan membawa malapetaka serambinews. 69",2
"@voxindonesia_id Fenomena sinkhole ini diduga dipicu hujan lebat berkepanjangan yang mengerosi tanah porous di wilayah vulkanik Sumatra Barat, terutama setelah banjir bandang dan longsor besar pada Desember 2025 yang melemahkan struktur tanah di banyak area pertanian. 1 226","@voxindonesia_id Fenomena sinkhole ini diduga dipicu hujan lebat berkepanjangan yang mengerosi tanah porous di wilayah vulkanik Sumatra Barat, terutama setelah banjir bandang dan longsor besar pada Desember 2025 yang melemahkan struktur tanah di banyak area pertanian. 1 226","fenomena sinkhole diduga dipicu hujan lebat berkepanjangan mengerosi tanah porous wilayah vulkanik sumatra barat, terutama setelah banjir bandang longsor besar desember 2025 melemahkan struktur tanah banyak area pertanian. 226",1
@rimapurwasih gue pernah lewat atas sumatra pas terbang naik pesawat dan pernah batin: ini kok banyak ditebang ya pohonnya apa ga bahaya. baru pas 2025 kemarin banjir gede 358,@rimapurwasih gue pernah lewat atas sumatra pas terbang naik pesawat dan pernah batin: ini kok banyak ditebang ya pohonnya apa ga bahaya. baru pas 2025 kemarin banjir gede 358,pernah lewat atas sumatra pas terbang naik pesawat pernah batin kok banyak ditebang ya pohonnya apa tidak bahaya. baru pas 2025 kemarin banjir gede 358,0
"Akun parodi Presiden Prabowo Subianto menegaskan kehadiran negara di tengah rakyat melalui rangkaian langkah nyata pascabencana di Sumatra. Mengawali pergantian tahun 2025–2026, Prabowo memilih berada bersama warga terdampak banjir di Tapanuli Selatan sebagai wujud empati dan tanggung jawab 1 1 279","Akun parodi Presiden Prabowo Subianto menegaskan kehadiran negara di tengah rakyat melalui rangkaian langkah nyata pascabencana di Sumatra. Mengawali pergantian tahun 2025–2026, Prabowo memilih berada bersama warga terdampak banjir di Tapanuli Selatan sebagai wujud empati dan tanggung jawab 1 1 279","akun parodi presiden prabowo subianto menegaskan kehadiran negara tengah rakyat melalui rangkaian langkah nyata pascabencana sumatra. mengawali pergantian tahun 2025–2026, prabowo memilih berada bersama warga terdampak banjir tapanuli selatan sebagai wujud empati tanggung jawab 279",2
"Misi Kemanusiaan MER-C untuk Sumatra: 150 Relawan, Ribuan Paket Bantuan, Puluhan Desa Terjangkau Indonesia menutup tahun 2025 dengan duka di tengah bencana banjir dan tanah longsor yang melanda wilayah Sumatra. Sebanyak 1.154 jiwa meninggal dunia, 165 jiwa masih hilang, 52 1 19 37 779","Misi Kemanusiaan MER-C untuk Sumatra: 150 Relawan, Ribuan Paket Bantuan, Puluhan Desa Terjangkau Indonesia menutup tahun 2025 dengan duka di tengah bencana banjir dan tanah longsor yang melanda wilayah Sumatra. Sebanyak 1.154 jiwa meninggal dunia, 165 jiwa masih hilang, 52 1 19 37 779","misi kemanusiaan mer-c sumatra 150 relawan, ribuan paket bantuan, puluhan desa terjangkau indonesia menutup tahun 2025 duka tengah bencana banjir tanah longsor melanda wilayah sumatra. sebanyak 1.154 jiwa meninggal dunia, 165 jiwa masih hilang, 52 19 37 779",2
"Hari Ibu 2025, Meutya Hafid Ajak Jajaran Kemkomdigi Tunjukkan Empati bagi Korban Banjir di Sumatra #bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia Berita Golkar - Hari Ibu 2025, Meutya Hafid Ajak Jajaran Kemkomdigi Tunjukkan Empati bagi Korban... 1 1 64","Hari Ibu 2025, Meutya Hafid Ajak Jajaran Kemkomdigi Tunjukkan Empati bagi Korban Banjir di Sumatra #bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia Berita Golkar - Hari Ibu 2025, Meutya Hafid Ajak Jajaran Kemkomdigi Tunjukkan Empati bagi Korban Banjir di Sumatra.","hari ibu 2025, meutya hafid ajak jajaran kemkomdigi tunjukkan empati bagi korban banjir sumatra bahlillahadalia kuningkeren golkarindonesia partaigolkar golkarpedia berita golkar hari ibu 2025, meutya hafid ajak jajaran kemkomdigi tunjukkan empati bagi korban banjir sumatra.",2
"PT Pertamina International Shipping (PIS) sebagai bagian dari Pertamina Group, terus menunjukkan komitmen dalam membantu masyarakat terdampak bencana banjir yang melanda wilayah provinsi Aceh, Sumatra Utara, dan Sumatra Barat, sejak 26 November 2025 lalu. 51","PT Pertamina International Shipping (PIS) sebagai bagian dari Pertamina Group, terus menunjukkan komitmen dalam membantu masyarakat terdampak bencana banjir yang melanda wilayah provinsi Aceh, Sumatra Utara, dan Sumatra Barat, sejak 26 November 2025 lalu. 51","pt pertamina international shipping pis sebagai bagian pertamina group, terus menunjukkan komitmen dalam membantu masyarakat terdampak bencana banjir melanda wilayah provinsi aceh, sumatra utara, sumatra barat, sejak 26 november 2025 lalu. 51",2
"Tim gabungan masih terus melakukan pencarian korban banjir dan longsor yang melanda Aceh, Sumatra Utara (Sumut), dan Sumatra Barat (Sumbar). Hingga Kamis (1/1/2025), tiga jasad tambahan ditemukan di Aceh Utara. Kepala Pusat Data, Informasi dan Komunikasi Kebencanaan BNPB, Abdul 72","Tim gabungan masih terus melakukan pencarian korban banjir dan longsor yang melanda Aceh, Sumatra Utara (Sumut), dan Sumatra Barat (Sumbar). Hingga Kamis (1/1/2025), tiga jasad tambahan ditemukan di Aceh Utara. Kepala Pusat Data, Informasi dan Komunikasi Kebencanaan BNPB, Abdul 72","tim gabungan masih terus melakukan pencarian korban banjir longsor melanda aceh, sumatra utara sumut sumatra barat sumbar hingga kamis 2025 tiga jasad tambahan ditemukan aceh utara. kepala pusat data, informasi komunikasi kebencanaan bnpb, abdul 72",1
"Badan Nasional Penanggulangan Bencana (BNPB) terus memperbarui total korban banjir bandang dan tanah longsor di Aceh, Sumatera Utara, dan Sumatera Barat lewat Dashboard Penanganan Darurat Banjir dan Longsor Sumatera Tahun 2025. Hingga Jumat (2/1/2026) pukul 09.40 WIB, tercatat 17 903","Badan Nasional Penanggulangan Bencana (BNPB) terus memperbarui total korban banjir bandang dan tanah longsor di Aceh, Sumatera Utara, dan Sumatera Barat lewat Dashboard Penanganan Darurat Banjir dan Longsor Sumatera Tahun 2025. Hingga Jumat (2/1/2026) pukul 09.40 WIB, tercatat 17 903","badan nasional penanggulangan bencana bnpb terus memperbarui total korban banjir bandang tanah longsor aceh, sumatera utara, sumatera barat lewat dashboard penanganan darurat banjir longsor sumatera tahun 2025. hingga jumat 2026 pukul 09.40 wib, tercatat 17 903",1
Pemerintah Kabupaten Tangerang kembali menyalurkan bantuan kemanusiaan tahap kedua untuk korban banjir bandang di Sumatra pada Selasa (30/12/2025). 1 79,Pemerintah Kabupaten Tangerang kembali menyalurkan bantuan kemanusiaan tahap kedua untuk korban banjir bandang di Sumatra pada Selasa (30/12/2025). 1 79,pemerintah kabupaten tangerang kembali menyalurkan bantuan kemanusiaan tahap kedua korban banjir bandang sumatra selasa 30 12 2025 79,2
"demo besar bln Agustus, penabrakan ojek ( Affan) penangkapan aktivis, Keracunan MBG, Polemik ijazah jokowi, bencana banjir & longsor di Sumatera, penemuan gelondongan kayu di balik becana Sumatra. tolong pak presiden 2026 harus ada perubahan. 61","demo besar bln Agustus, penabrakan ojek ( Affan) penangkapan aktivis, Keracunan MBG, Polemik ijazah jokowi, bencana banjir & longsor di Sumatera, penemuan gelondongan kayu di balik becana Sumatra. tolong pak presiden 2026 harus ada perubahan. 61","demo besar bulan agustus, penabrakan ojek affan penangkapan aktivis, keracunan mbg, polemik ijazah jokowi, bencana banjir longsor sumatera, penemuan gelondongan kayu balik becana sumatra. tolong pak presiden 2026 harus ada perubahan. 61",0
"Akun komentar Meski tahun ini diakhiri duka besar bagi saudara kita di Sumatra akibat banjir dan longsor, semoga segera bangkit dan kita semua lebih bijak menjaga alam. Thankyou 2025 ~ Welcome 2026 1 5 214","Akun komentar Meski tahun ini diakhiri duka besar bagi saudara kita di Sumatra akibat banjir dan longsor, semoga segera bangkit dan kita semua lebih bijak menjaga alam. Thankyou 2025 ~ Welcome 2026 1 5 214","akun komentar meski tahun diakhiri duka besar bagi saudara sumatra akibat banjir longsor, semoga segera bangkit semua lebih bijak menjaga alam. thankyou 2025 welcome 2026 214",2
"Dari ruang kelas yang sempat terendam, kini kembali bersih dan tertata. #SobatBelajar, akhir November 2025, banjir bandang dan tanah longsor melanda sejumlah wilayah di Sumatra, berdampak pada ribuan satuan pendidikan serta puluhan ribu siswa, guru, dan tenaga kependidikan. 4 2 5","Dari ruang kelas yang sempat terendam, kini kembali bersih dan tertata. #SobatBelajar, akhir November 2025, banjir bandang dan tanah longsor melanda sejumlah wilayah di Sumatra, berdampak pada ribuan satuan pendidikan serta puluhan ribu siswa, guru, dan tenaga kependidikan. 4 2 5","ruang kelas sempat terendam, kini kembali bersih tertata. sobatbelajar, akhir november 2025, banjir bandang tanah longsor melanda sejumlah wilayah sumatra, berdampak ribuan satuan pendidikan puluhan ribu siswa, guru, tenaga kependidikan.",2
DKI Jakarta Salurkan Bantuan Air Bersih ke Wilayah Terdampak Banjir dan Longsor Sumatra ‎DKI Jakarta Salurkan Bantuan Air Bersih ke Wilayah Terdampak Banjir dan Longsor Sumatra 53,DKI Jakarta Salurkan Bantuan Air Bersih ke Wilayah Terdampak Banjir dan Longsor Sumatra ‎DKI Jakarta Salurkan Bantuan Air Bersih ke Wilayah Terdampak Banjir dan Longsor Sumatra 53,dki jakarta salurkan bantuan air bersih wilayah terdampak banjir longsor sumatra dki jakarta salurkan bantuan air bersih wilayah terdampak banjir longsor sumatra 53,2
"Menutup tahun 2025, Presiden Prabowo Subianto kembali menunjukkan komitmen kepemimpinan yang hadir di tengah rakyat. Presiden Prabowo Subianto melakukan peninjauan ke wilayah terdampak bencana banjir di Pulau Sumatra pada Rabu (31/12/2025). 1 68","Menutup tahun 2025, Presiden Prabowo Subianto kembali menunjukkan komitmen kepemimpinan yang hadir di tengah rakyat. Presiden Prabowo Subianto melakukan peninjauan ke wilayah terdampak bencana banjir di Pulau Sumatra pada Rabu (31/12/2025). 1 68","menutup tahun 2025, presiden prabowo subianto kembali menunjukkan komitmen kepemimpinan hadir tengah rakyat. presiden prabowo subianto melakukan peninjauan wilayah terdampak bencana banjir pulau sumatra rabu 31 12 2025 68",2
"@goentz1 Presiden Prabowo Subianto meninjau progres pembangunan Jembatan Bailey Sungai Garoga, Tapanuli Selatan, Sumatra Utara, Rabu (31/12/2025). Jembatan tersebut dibangun sebagai akses darurat setelah infrastruktur utama terputus akibat banjir bandang. 1 34","@goentz1 Presiden Prabowo Subianto meninjau progres pembangunan Jembatan Bailey Sungai Garoga, Tapanuli Selatan, Sumatra Utara, Rabu (31/12/2025). Jembatan tersebut dibangun sebagai akses darurat setelah infrastruktur utama terputus akibat banjir bandang. 1 34","presiden prabowo subianto meninjau progres pembangunan jembatan bailey sungai garoga, tapanuli selatan, sumatra utara, rabu 31 12 2025 jembatan tersebut dibangun sebagai akses darurat setelah infrastruktur utama terputus akibat banjir bandang. 34",1
