text,label_aktual,label_prediksi,sentimen_prediksi,prob_negatif,prob_netral,prob_positif
"Warga Aceh Tamiang kini mulai menempati rumah sementara pascabencana. Hunian ini menjadi awal pemulihan kehidupan yang lebih aman dan layak, sekaligus bukti kerja nyata pemerintah di lapangan. Aceh Sumatra Pulih. 1 6",2,2,positif,0.023723865,0.035254177,0.9410219
"Membalas Saya tanya ""ngikutin gak soal penanganan banjir di aceh smubar sumut. ?"" Beliau2 menjawab tdk tahu Dan besoknya nimbrung cerita klo p prab sudah turun kelapangan gercep banget hadir bersama rakyat. Muncul di fyp tiktoknya. Mantab bukan? 1 18",2,2,positif,0.23909679,0.27038395,0.49051932
"Pengurus Pusat Taman Iskandar Muda (PPTIM) mendesak agar Presiden RI, Prabowo Subianto untuk segera menetapkan status darurat bencana nasional terhadap banjir dan tanah longsor yang melanda Aceh, Sumut dan Sumbar. BanjirLandaAceh aceh.tribunnews.com PPTIM Usul Bentuk Badan Pemulihan & Pembangunan Pascabencana, Desak Tetapkan Status Darurat... Selain penetapan status bencana nasional, mereka juga mengusul dibentuk badan yang secara terintegrasi mampu menjadi unit kerja untuk pemulihan 112",0,1,netral,0.06743019,0.679254,0.25331587
Saat ini keadaan Aceh bener meriah -Listrik padam -BBM habis total klo ada harga selangit -Gas elpiji habis -Jaringan internet aktif hanya ditempat tertentu harus naik ke yg paling tinggi masih lelet -Beras habis klo ada harga selangit -Air bersih sulit PrayForAceh PrayForGayo 82,0,0,negatif,0.89688283,0.04477817,0.058339015
KDM ON FIRE 17.00 WIB Amanda Zahra Quidditch Liverpool samsung shop Iko uwais SumateraBencanaNasional PrayForSumatera PrayForIndonesia paus123 34,1,2,positif,0.048432626,0.25151414,0.7000533
"Membalas zin sawit mulus kayak jalan tol, tapi air banjir masuk rumah warga juga semulus itu. Ajaib. BanjirSumatra 48",0,0,negatif,0.7885853,0.08294566,0.12846904
"Berdasarkan data dari BNPB pada Kamis (4/12/2025) pukul 16.00 WIB, korban meninggal akibat banjir dan longsor di Sumatra bertambah menjadi 836 orang. Penanganan masih berjalan, termasuk evakuasi dan bantuan, seiring terbukanya akses ke wilayah yang terisolasi. banjirsumatra Tampilkan lebih banyak 2 8 12 2 rb",0,0,negatif,0.92830515,0.034732144,0.0369627
"Satuan Brimob Polda Riau bersama Satuan Brimob Polda Jambi dan Sumatera Barat Bergerak Cepat membawa Misi Utama menembus Longsor demi membuka kembali Denyut Hidup Warga yang terjebak dalam Isolasi Akibat Bencana Banjir di Jorong Tamtaman, Kabupaten Agam Provinsi Sumatera Barat... 1 74",2,2,positif,0.05800218,0.06915353,0.8728443
"Pemerintah fokus tangani aceh sumbar dan sumut dalam agenda Prabowo Pulihkan PascaBencana sekaligus mempercepat Pembangunan Rumah Korban Bencana supaya kehidupan warga normal kembali Presiden RI Prabowo Subianto Minta Pemerintah Tidak Libur, Fokus Tangani Bencana Aceh, Sumatera... Dari melansir.com 29",0,0,negatif,0.93336266,0.021802394,0.044835042
"Amarah Farah, seorang perempuan Aceh yang sejak gadisnya sdh mewakafkan hidup untuk tanah kelahirannya. Dulu ia pernah menghadapi peluru tanpa pernah menangis. Kini ia tak kuasa menahan sedihnya setelah sebulan berkubang lumpur membantu dan melihat korban banjir di sana. 4 108 228 14 rb",0,0,negatif,0.93989414,0.017377269,0.04272858
"Sedih bgt aku ga bisa berkata2 lagi, rasanya tiap buka timeline twt, tiktok ig, ngeliat bencana banjir ini hati rasanya teriris2 banget, udah berapa banyak dendam yang harus ditanam dalam hati untuk dibawa mati. Bisa ya orang gapunya hati 24",0,0,negatif,0.9445403,0.020372313,0.03508732
"Membalas dan 7 lainnya Hrsya PS sadar&paham, PEMBATALAN KUNJUNGAN ke luar negeri pasti sgt bisa dipahami negara luar. Fakta BENCANA SUMATERA adlh DASARNYA. Namun PS lbh suka jalan2 & kabur dr rkyt saat masa2 sulit. Saya sbg rkyt asal SUMATERA UTARA MEMINTA ANDA MUNDUR SKRG krn Anda LANGGAR ETIKA MORAL. 1 43",0,0,negatif,0.847168,0.07789498,0.07493695
"Kungker Menteri Koordinator Bidang Pangan Zulkifli Hasan ke wilayah bencana banjir dan longsor di Sumatera menjanjikan untuk pasokan pangan menjadi dua kali lebih banyak dari sebelumnya . Janji Rumah Zulhas Kunjungi Padang, Zulhas Janji Pasokan Pangan 2 Kali Lipat untuk Korban Banjir Dari detik.com 24",0,0,negatif,0.93743753,0.02332409,0.03923847
"""Musibah Kali ini Seperti Tsunami Jilid 2"" sambil meneteskan Airmata seperti itulah ungkapan Gubernur Aceh. Reportase tim posko 3 Ma'had At-Tashfiyah Kuala Simpang. Oleh Abu Atha Lokasi Aceh Tamiang PrayForSumatera prayforaceh BENCANANASIONAL 2 10 433",0,1,netral,0.21668006,0.6775336,0.10578636
Emang lagi krisis² nya - Listrik padam - Sinyal hilang timbul - Air nggak ada - Bahan pangan naik drastis Simulasi hidup di djaman doeloe 1 45,0,0,negatif,0.85872823,0.077950425,0.06332127
"Kalimantan Selatan Diterjang Banjir Bandang seperti Bencana Ekologis di Sumatera, Derasnya Arus Air Rendam Hampir Setinggi Rumah",1,1,netral,0.30309138,0.6165113,0.0803973
keren parah! POLRI selalu siap siaga waktu banjir di Sumatera. Tepat waktu dan penuh dedikasi bantu masyarakat. Tuhan berkati kerja kalian 24,0,2,positif,0.056745686,0.016626291,0.92662805
"Status Darurat di Sumbar bakal Diperpanjang, Gubernur Mahyeldi Pekerjaan Belum Tuntas inews.id Status Darurat di Sumbar bakal Diperpanjang, Gubernur Mahyeldi Pekerjaan Belum Tuntas Gubernur Sumatera Barat (Sumbar) Mahyeldi Ansharullah menyatakan, status tanggap darurat bencana alam di wilayah Sumbar berpotensi diperpanjang 177",1,1,netral,0.17375007,0.7853771,0.040872786
"Mari panjatkan doa untuk saudara kita yang berada di Sumatera, semoga selalu diberikan perlindungan dan keselamatan.. lekas membaik PrayForSumatera 9 38 1 rb",2,2,positif,0.13521096,0.06847881,0.7963102
"update infografis (Jum'at, 5 Desember 2025 Pukul 03.17 WIB) Berkaitan dengan Dampak Bencana Banjir yang melanda Provinsi Aceh, Sumatra Utara dan Sumatra Barat. Terhitung ada 51 Kabupaten/kota yang terdampak 28",1,1,netral,0.05522837,0.8778928,0.0668788
"INDONESIA SUDAH DIRUSAK ALAMNYA ,DISELURUH SABANG SAMPAI MEUROKE BENCANA BANJIR BANDANG TERUS AKAN TERJADI SELAMA MUSIM HUJAN TINGGAL TUNGGU WAKTUNYA LANTAS SIAPA YG PATUT DISALAHKAN TAK LAIN ADALAH PRESIDEN,PIM PARPOL,KEPALA DAERAH YG TERUS MEMBERI IZIN TAMBANG DAN PERKEBUNAN 86",0,0,negatif,0.9550289,0.024246125,0.02072492
Pemerintah Malaysia Sdh Mengirim Bantuan Kemanusiaan Ke Aceh. Sementara Masih Tolol & Dungu Pemerintah Pusat & Daerah Atas Kejadian Banjir Bandang Di Sibolga Sumatra Utara.,2,0,negatif,0.8099163,0.08839305,0.10169061
"Semangat gotong royong kembali menjadi pilar utama dalam penanganan bencana yang melanda Sumatera Barat, Sumatera Utara, dan Aceh. Pada Jumat (5/12), Polri kembali memberangkatkan gelombang bantuan kemanusiaan dalam jumlah besar menuju wilayah-wilayah terdampak bencana alam. 28",2,2,positif,0.016504748,0.03934379,0.94415146
"Banjir besar yang melanda Kecamatan Batang Toru, Kabupaten Tapanuli Selatan, Sumatera Utara, pada akhir November lalu menyisakan kisah keberanian seorang polisi. Aipda Jhon Kennedy Habiahan, Bhabinkamtibmas Polsek Batang Toru, turun langsung membantu warga saat Sungai Batang",2,2,positif,0.14834552,0.106031284,0.74562323
"Membalas Nih kapal feri udh pernah ke aceh apa sumsel belum ya? Tau gak kaya apa medannya,orang lewat aja bisa puluhan km jalan kaki apa iya banjir dtg langsung ada perahu karet 43",1,0,negatif,0.78730893,0.18995771,0.022733359
"Menteri UMKM Maman Abdurrahman menegaskan rencana penghapusan utang KUR bagi korban bencana di Aceh, Sumut, dan Sumbar. Koordinasi dengan bank segera dilakukan. Pemerintah Mau Hapus Utang UMKM Terdampak Bencana, Skema Masih Dibahas Dari finance.detik.com 182",0,0,negatif,0.90988725,0.02522124,0.06489145
"Pada hari kedua ini, pemerintah terus mengerahkan helikopter ke berbagai titik untuk distribusi bantuan logistik dan evakuasi di wilayah terdampak bencana banjir di Aceh, Sumatera Barat, dan Sumatera Utara. BantuanBencanaAlam DistribusiBantuanLogistik WilayahTerdampakBencana Tampilkan lebih banyak 12 60 134 85 rb",2,2,positif,0.027470674,0.038835622,0.93369377
"PASCA BANJIR BANDANG DI TAPANULI SELATAN Setelah air banjir bandang mulai surut, rumah-rumah warga banyak yang hilang. Begini kondisi Desa Garoga, Batangtoru, Tapanuli Selatan, Sumatera Utara saat ini. Sebuah pemandangan yang bikin pertanyaan. Bayangkan betapa rusak dan sedih darurat",0,0,negatif,0.88858,0.082498185,0.028921794
"Turut berdukacita, Al Fatihah *Bhineka tunggal ika PrayForSumatera PrayForAceh PrayForIndonesia 29",0,0,negatif,0.66416246,0.09871813,0.23711942
"*Gerak Cepat Polres Bener Meriah, Jalan Lintas Bireuen–Takengon Kembali Aman Pascabencana* Bener Meriah — Pascabencana banjir dan tanah longsor yang sempat mengganggu arus lalu lintas, Polres Bener Meriah bersama personel Satuan Brimob Polda Aceh bergerak cepat 1 28",2,2,positif,0.06560868,0.31032485,0.6240665
"Belum ada shalat berjamaah di Mesjid ini sejak bencana banjir nasional Aceh Sumatra November 26, 2025Gampong (Desa) Rawe, Lut Tawar Aceh Tengah. BNPB Indonesia dan 4 lainnya 5 293 573 7 rb",1,1,netral,0.20938033,0.74896777,0.041651946
"Senyar pada 26Nov2025 menjadi bencana terparah dalam sejarah Aceh & Sumatera Gubernur Aceh menyebutnya sebagai “Tsunami Kedua” Sebanyak 22 gampong hilang disapu banjir bandang,sekitar 50% wilayah Aceh terdampak, ratusan ribu rumah hancur,dan ratusan ribu warga menjadi pengungsi",0,0,negatif,0.9216562,0.049068842,0.029275008
"Jangan sampai mau di pecah belah, NKRI Harga Mati!! Aceh Sumatra Pulih 5",2,0,negatif,0.497739,0.06317275,0.43908834
Membalas dulu mas rumah kakak gw kebanjiran seperut aja sampe sekarang masih keinget sedih dan berkabungnya gara-gara banyak barang yang rusak dan harus ngeluarin banyak buat reparasi pasca bencananya 1 17,0,0,negatif,0.9385971,0.030326936,0.031075941
Membalas Kota Bandar Lampung yg seumur hidup tidak pernah banjir - dalam 35 tahun terkahir... Tahun 2024 -2025 sudah dua kali banjir hingga beberapa meter diatas permukaan... Rumah warga terendam banjir saat musim hujan tiba... 1 81,0,0,negatif,0.841651,0.13604502,0.022303978
"Pasca banjir bandang yang melanda sejumlah wilayah di Aceh, Kementerian PU bergerak cepat melakukan penanganan Sungai Krueng Meureudu melalui pembersihan kayu dan sedimen, pengerukan, serta pembuatan alur pandu sungai. pu608 SigapMembangunNegeriUntukRakyat 28",2,2,positif,0.01928483,0.094227836,0.8864873
"60 KK di Jambo Kajeung Masih Mengungsi, Butuh Bantuan Alat Berat Bersihkan Lumpur Warga terpaksa mengungsi karena rumah mereka mengalami kerusakan serta masih terendam lumpur setebal sekitar 50 sentimeter, baik di halaman maupun di dalam rumah.",0,0,negatif,0.8836758,0.04747354,0.06885064
Pemprov Sumatera Utara Siapkan Rp430 Miliar untuk Pemulihan Pascabencana Pemprov Sumatera Utara Siapkan Rp430 Miliar untuk Pemulihan Pascabencana - Teritorial24 Dari teritorial24.com 3,2,2,positif,0.031038398,0.20376055,0.76520103
"dari mananya letak membaik anjirr ini orang makan makin susah semua2nya beli, lagi kena musibah gini masih dipalakin gilaa bgt pemrentah ini, kapan ya dikirim banjir ke rumah pejabat biar ngerasain gimana susahnya hidup rakyat ini 19",0,0,negatif,0.9243536,0.023680223,0.05196609
Sekretaris Kabinet Teddy Indra Wijaya menyatakan sebanyak puluhan helikopter telah dikerahkan dalam menangani bencana banjir bandang dan longsor di Sumatra. MERONA4D,1,1,netral,0.060836352,0.56469935,0.3744643
"Ya Allah Banjir lagi .. Hujan Deras Picu Banjir Lagi, Desa-desa di Pidie Jaya Terendam Luapan Sungai 9 254 456 5 rb",0,0,negatif,0.55511224,0.39678684,0.048100878
Pemerintah Hadir di Aceh Tamiang dengan pengerahan alat berat secara masif untuk membersihkan sisa banjir dan longsor. Akses jalan dipulihkan dan fasilitas publik kembali difungsikan agar aktivitas warga berjalan aman dan berkelanjutan. AllEyesOnSumatera Aceh Sumatera Update 14 59 67 26 rb,2,2,positif,0.022749111,0.056011032,0.9212399
"Pemerintah terus hadir di tengah masyarakat Aceh dan Sumatra, memastikan setiap langkah pemulihan berjalan tepat sasaran. Bersama warga, kita bangkit dan melangkah maju menuju masa depan yang lebih kuat. PemerintahHadir AcehSumatraBangkit PemerintahBarengWarga 15",2,2,positif,0.015492791,0.019000284,0.9655069
"Hallo SahabatTangguh! Pemerintah mengoptimalkan distribusi air bersih bagi masyarakat terdampak banjir dan longsor di Kabupaten Padang Pariaman, Provinsi Sumatera Barat. Upaya ini dilakukan bersama 36",1,2,positif,0.019783137,0.13310052,0.8471163
"Kepala Badan Nasional Penanggulangan Bencana (BNPB) Letjen TNI Suharyanto mengaku kaget dengan besarnya bencana banjir di Tapanuli Selatan, Sumatera Utara. Permintaan maaf itu ia sampaikan kepada Bupati Tapanuli Selatan, saat mengunjungi Desa Aek Garoga, Kecamatan Batang Toru 74",1,1,netral,0.24457455,0.65103126,0.10439419
"ya allah itu yang kena banjir menata hidupnya lagi gimana ya?? seperti biasa ya allah, pemerintah indo masuk neraka 8",0,0,negatif,0.9272582,0.0345453,0.038196526
"Dari total itu, sebanyak 4.876 kk atau 18.158 jiwa memilih tidak mengungsi, sementara 14 KK atau 53 jiwa lainnya terpaksa harus mengungsi ketempat saudaranya, karena rumah mereka terendam banjir dan tidak bisa ditempati. Banjir WargaMengungsi Banjir Kepung 13 Kecamatan di Aceh Timur, 53 Jiwa Terpaksa Mengungsi - Serambinews.com Dari aceh.tribunnews.com 1 1 157",1,0,negatif,0.89805645,0.0673555,0.034588076
"Puncak Musim Hujan, 3 Daerah Sumsel Naikkan Status Siaga Darurat Bencana Hidrometeorologi sumatra.bisnis.com Puncak Musim Hujan, 3 Daerah Sumsel Naikkan Status Siaga Darurat Bencana Hidrometeorologi Tiga daerah di Sumsel, termasuk OKU, Pagar Alam, dan Prabumulih, menetapkan status siaga darurat bencana hidrometeorologi menghadapi puncak musim hujan Desember. 194",1,1,netral,0.029382387,0.88627255,0.08434499
Video Kapolri Akan Bongkar Penyebab Banjir Sumatra Video Kapolri Akan Bongkar Penyebab Banjir Sumatra Dari cnbcindonesia.com 286,1,1,netral,0.21257213,0.742522,0.044905856
TNI AD Dirikan Pos Kesehatan Terpadu untuk Korban Banjir di Aceh ronajateng.com TNI AD Dirikan Pos Kesehatan Terpadu untuk Korban Banjir di Aceh - Rona Jateng TNI Angatan Darat Dirikan Pos Kesehatan Terpadu untuk Korban Banjir di Aceh-sumatera Senin 8 Desember 2025 1 14,0,0,negatif,0.9372294,0.017757516,0.045013122
Pemerintah siapkan skema bantuan untuk korban banjir di Aceh 13,2,0,negatif,0.92841715,0.018376725,0.053206153
"Sudah 22 hari sejak banjir bandang besar melanda Kabupaten Bener Meriah, Aceh pada Rabu (26/11), dampak bencana masih dirasakan warga hingga kini. Sejumlah masyarakat dilaporkan masih berada dalam kondisi terisolir, sementara aktivitas di wilayah terdampak belum sepenuhnya pulih. Tampilkan lebih banyak 1 2 3 232",2,0,negatif,0.48482758,0.3934718,0.121700615
"Banjir bandang di Sumatra kini masuk babak baru. Negara resmi menggugat enam perusahaan yang diduga ikut merusak hulu sungai. Ini bukan lagi soal cuaca, tapi soal tanggung jawab. BanjirSumatra Lingkungan KeadilanIklim",0,0,negatif,0.82923067,0.10787364,0.06289571
"Penyaluran bantuan kepada wilayah terdampak banjir di Sumatera Utara dan Aceh terus di lakukan. Salah satunya adalah bantuan dari TNI yang distribusikan bantuan ke daerah terisolasi di Desa Mardame, Tapanuli Tengah. Sumber video 2 18 45 1 rb",0,2,positif,0.04498577,0.05835036,0.8966639
"Upaya pembersihan kayu ilegal oleh Kemenhut menunjukkan komitmen serius memulihkan kawasan terdampak. Langkah ini menjadi bagian dari proses pemulihan ekosistem dan ekonomi lokal. Aceh Sumatra Pulih lewat kerja nyata, bukan sekadar wacana. 2 3 14",2,2,positif,0.029767985,0.03974415,0.9304879
capek bgt anjir tiap mau benerin hp mesti motor mogok lah apalah 13,0,0,negatif,0.932392,0.034161653,0.033446338
"Kemenhut Didesak Umumkan Nama Perusahaan yang Diduga Jadi Penyebab Bencana di Sumatera Kementerian Kehutanan (Kemenhut) diminta segera mengumumkan 12 nama perusahaan pengelola hutan yang beroperasi di Sumatera Utara, yang diduga dalang dibalik banjir bandang di tiga provinsi Tampilkan lebih banyak 95",0,0,negatif,0.64067453,0.3080879,0.051237546
"Kondisi Pasar Baru, Kota Padang, tampak luluh lantak dari visual udara pagi hari, di mana wilayah tersebut terendam parah oleh banjir bandang. Arus sungai dan irigasi terlihat meluap dan tidak beraturan, menghanyutkan sejumlah rumah dan memutus banyak ruas jalan, menunjukkan Tampilkan lebih banyak 2 9 6 1 rb",0,0,negatif,0.64033335,0.3207284,0.038938295
"Donasi disalurkan melalui Wahana Visi Indonesia untuk mendukung penanganan bencana alam banjir dan longsor di wilayah Sumatra, serta kepada Panti Asuhan Hati Bangsa, berupa bantuan sembako dan uang tunai guna membantu pemenuhan kebutuhan sehari-hari anak-anak panti.",2,2,positif,0.037466038,0.046144743,0.9163892
"Pray for Aceh & Sumatera Hati kami hancur melihat cobaan yang menimpa saudara-saudara kita di Aceh dan Sumatera. Duka mereka adalah duka kita bersama. Kami mengirimkan doa terbaik, harapan, dan kekuatan untuk semua yang terdampak. PrayForAceh PrayForSumatera goodybag 🎗️",0,0,negatif,0.80977404,0.03067532,0.15955058
"IPB University bersama Persatuan Alumni Pelajar dan Mahasiswa Minang (PAPMM) mengadakan kegiatan kemanusiaan ""marandang basamo"" dengan memproduksi satu ton rendang daging untuk disalurkan kepada korban bencana banjir bandang dan longsor di Aceh, Sumut, dan Sumbar. Wakil Rektor Tampilkan lebih banyak 3 3 589",0,0,negatif,0.8914255,0.017945796,0.09062866
"Janji Rumah Zulhas menjadi penopang harapan di Sumatera Zulkifli Hasan menjaga proses pemulihan Kunjungi Padang, Zulhas Janji Pasokan Pangan 2 Kali Lipat untuk Korban Banjir Dari detik.com 36",0,0,negatif,0.9422859,0.016957952,0.04075618
"Layanan Bengkel Motor Gratis untuk korban bencana banjir dan tanah longsor yang ada di DPD PKS Aceh Tamiang tak pernah sepi dikunjungi oleh masyarakat. Layanan ini diberikan karena banyaknya kendaraan masyarakat yang tidak bisa menyala akibat terkena banjir, dan kendaraan menjadi Tampilkan lebih banyak 2 25 54 8 rb",2,0,negatif,0.9320663,0.014177469,0.05375622
Bahkan unand kawasan tinggi banjir Ya Allah Teman2ku pada ngungsi 104,0,0,negatif,0.7272298,0.21152769,0.061242513
"Prabowo dan Jokowi zionis-zionis Indonesia. Mereka membiarkan korban bencana banjir bandang dan tanah longsor kelaparan. Dapur umum tak lagi beroperasi, warga Pidie Jaya Aceh, kesulitan makanan PresidenOmon2Turunlah PresidenOmon2Turunlah 1 147",0,0,negatif,0.94725275,0.016510976,0.036236215
Seskab Teddy mengajak seluruh lapisan masyarakat untuk saling bantu dalam penanganan bencana banjir dan longsor di Sumatera. Teddy menekankan pentingnya gotong royong agar pemulihan berjalan lebih cepat dan menyeluruh.,2,2,positif,0.025852507,0.05735794,0.9167896
Wahana Lingkungan Hidup Jambi desak pemerintah mencabut izin perusahaan yang terbukti menjadi penyebab bencana banjir dan tanah longsor pada tiga provinsi di Pulau Sumatera. Walhi Jambi desak pencabutan izin perusahaan penyebab bencana Sumatera Dari antaranews.com 224,0,0,negatif,0.5191186,0.37461448,0.10626695
"Dari kemaren mikirin gajahnya ada yang kena gak ya, pagi liat video gajah kena banjir di Sri Lanka, dan tadi ada berita gajah sumatra mati kena dampak banjir ketimbun kayu malang banget nasib hewan di Indo ini udah rumahnya diambil sekarang ikut merasakan bencana sedih",0,0,negatif,0.9459769,0.02999073,0.024032384
"alam beneran lagi bersih bersih, alam memberi semua bukti bahwa tempatnya di rusak, ketika banjir itu disebabkan karena sampah yaa banjir itu akan membawa sampah, di sana.. banjir itu membawa banyak gelondongan kayu,Ya Allah miris banget 1 5",2,0,negatif,0.93119097,0.040751204,0.028057775
BRIMOB ACEH TERUS KONSISTEN BANTU MASYARAKAT PASCA BANJIR instagram.com Batalyonapeloporaceh () • Instagram photo 22,2,2,positif,0.025725361,0.05562444,0.91865015
"Akun komentar Debit air di Gunung Nago, Puah, Kota Padang, Sumatera Barat, meningkat Minggu (14/12) sore. Potensi banjir Warga diminta siaga . Dari t°Jabar 1 3 137",2,1,netral,0.060879957,0.89649445,0.042625595
Membalas Anda pahami konteksnya Video bobby itu H+4 setelah banjir bandang melanda sibolga. Dan video Vietnam itu sebagai pembanding lambat nya hadir helikopter sebagai alternatif evakuasi lokasi yang terisolasi 115,0,1,netral,0.30824333,0.62833047,0.06342624
Akun parodi banjir banget di sumut guys udah masuk rumah aku... stay safe ya... 11 544,0,0,negatif,0.67863476,0.26051787,0.06084731
"Iyaaa, sepakat banget! Kalau semua pihak kerja bareng di lapangan hasilnya memang jauh lebih kerasa daripada sekadar wacana. Aceh dulu juga bisa bangkit karena kolaborasi yang solid kayak gitu. Semoga Sumbar nyusul, prosesnya lancar dan pemulihannya bisa cepet dirasain warga semangat",2,2,positif,0.07243347,0.0255857,0.90198076
Akun komentar Mau sampai kapan kalian biarkan rakyat hidup begini Cuaca dan Hutan yang gundul membuat warga Aceh Sumut dan Sumbar selalu dihantui ketakutan akan datangnya bencana Longsor &amp; Banjir Bandang yang datangnya tiba tiba Dari 𝐎𝐦𝐉 (Over mijzelf) 1 1 58,0,0,negatif,0.8550856,0.11126352,0.03365082
"Bantuan untuk saudara-saudara kita di Aceh, Sumut, dan Sumbar masih sangat dibutuhkan. Melalui aplikasi MASA donasi lebih mudah disalurkan kapan saja dan di mana saja. Yuk, cek cek MASA di ponselmu untuk melanjutkan langkah yang lebih baik! DonasiSumatra PrayForSumatra Tampilkan lebih banyak 4 23 64 2 rb",2,2,positif,0.057803564,0.030231213,0.9119652
"Pada 12 Januari 2026, banjir dilaporkan di luar Jawa Sulawesi Selatan (Makassar, 356 mengungsi), Sulawesi Tengah (Donggala, 4 desa terdampak, rumah rusak), Aceh (banjir bandang di beberapa kabupaten, ribuan terdampak), dan Sumatera Utara (potensi banjir & longsor). Peringatan",0,0,negatif,0.5515544,0.4022555,0.04619013
"Membalas dan 5 lainnya Bagaimana Bapak Presiden Republik Indonesia menolak bantuan Asing ? Rakyat yg dipelosok masih dibiarkan menghadapi bencana banjir, kelaparan, berjuang bertahan hidup hingga kematian 1 bulan paska bencana! Harga Diri Apa yang Kau Maksud Bapak Presiden Republik Indonesia! 35",0,0,negatif,0.94000494,0.021802558,0.03819252
"Musibah banjir di Sumut, Sumbar, Aceh... Polri langsung bergerak cepat! Evakuasi korban, distribusi bantuan, semua terkoordinasi dengan baik. Polisi Tanggap Bencana Terimakasih POLRI _ 1 31",0,0,negatif,0.8973499,0.017434968,0.08521505
Membalas dan bagusnya sama kami juga pendamping desa Sumut yg di PHK sepihak setelah kami kena banjir sumut ada sebanyak 1.150 orang di PHK akhir 2025 dengan sk no 733 1 1 26,0,0,negatif,0.92049426,0.049295947,0.030209763
"orang-orang yang tidak tahu berkata demikian. Tetapi Allah akan menghakimi mereka pada Hari Kiamat mengenai apa yang mereka perselisihkan."" (2 113) Orang-orang yang tidak tahu, menurut saya, merujuk pada ""banjir besar"" di zaman sekarang.",0,0,negatif,0.66480243,0.26188773,0.07330982
"Membalas Dan dengan bangganya mereka bilang ""lihat, oemerintah cepat kan atasi banjir??"" sambil nahan bantuan dari luar demi ego ""kami bisa tangani sendiri"" Kalo kamu tanya mereka udah gila, ya jawabannya udah bukan gila lagi Lebih gila dari gila... Bunch of psycho bastards 1 2 796",0,0,negatif,0.8597608,0.03925056,0.10098863
