id,text_with_emoticon,sentimen_old,label_old,label_llm,confidence,reason,need_review
189,"Akhirnya Warga Terdampak Banjir di Aceh Tamiang Mulai Menempati Huntara ! Setelah lebih dari sebulan tinggal di tenda, sekarang warga mulai nempatin huntara dari Danantara. Rika Jahara salah satunya yang merasa senang dan bersyukur banget bisa tinggal di huntara. Tampilkan lebih banyak 6 12 52 9 rb",positif,2,positif,95,Mengungkapkan rasa senang dan syukur warga atas ketersediaan hunian sementara.,False
196,"Membalas @tijabar Solusi tepat! Warga Aceh Tamiang bisa pilih huntara terpusat atau in-situ, sesuai kebutuhan dan preferensi. Terima kasih, Pak Prabowo, atas perhatian dan prioritas untuk penyediaan hunian! #Prabowo #AcehTamiang #Banjir 87",positif,2,positif,90,Mengapresiasi solusi dan perhatian pemerintah dalam penyediaan hunian bagi korban.,False
233,TNI masih bersihkan lumpur sisa banjir di Tapteng Aceh Sumatra Pulih 23,positif,2,netral,85,Menyajikan informasi faktual mengenai kegiatan pembersihan lumpur pasca-banjir.,True
236,Membalas @ekowboy2 270 jembatan bailey? Berarti Ada 270 jembatan yang rusak Karena banjir bandang di Aceh. Sumut Dan Sumbar. Itu sedikit atau banyak ya? 1 191,negatif,0,netral,80,Mengajukan pertanyaan faktual mengenai skala kerusakan infrastruktur.,True
259,𝐊𝐨𝐫𝐛𝐚𝐧 𝐁𝐚𝐧𝐣𝐢𝐫 𝐀𝐜𝐞𝐡 ‘𝐉𝐚𝐝𝐢 𝐓𝐞𝐧𝐭𝐚𝐫𝐚’ 𝐁𝐞𝐫𝐤𝐚𝐭 𝐃𝐨𝐧𝐚𝐬𝐢 𝐁𝐚𝐣𝐮 𝐃𝐚𝐫𝐢 𝐑𝐞𝐥𝐚𝐰𝐚𝐧 Sebuah momen mengharukan dari wilayah terdampak banjir di Aceh menjadi perhatian warganet. 2 pria korban banjir tampak tersenyum bahagia setelah menerima Tampilkan lebih banyak 94,positif,2,positif,90,Menggambarkan momen positif dan kebahagiaan korban atas bantuan yang diterima.,False
262,Brimob Aceh BKO Ops Aman Nusa II Bergerak Cepat Pulihkan Permukiman Warga Tamiang Pasca Banjir 1 23,positif,2,positif,90,Mengapresiasi kecepatan dan tindakan Brimob dalam memulihkan permukiman pasca-banjir.,False
271,"Pemerintah terus bekerja keras pulihkan Sumatra pasca bencana banjir, bukti Pemerintah Sigap untuk Aceh Sumatra 1 29",positif,2,positif,90,Mengapresiasi kerja keras dan kesigapan pemerintah dalam upaya pemulihan pasca-bencana.,False
277,"*Di Tengah Lumpur dan Harapan, Polri Bersama Warga Buka Akses Jalan Kampung Setie Pascabencana* Bener Meriah — Kepolisian Resor Bener Meriah bersama personel Satuan Brimob Polda Aceh turun langsung membantu masyarakat membersihkan akses jalan yang tertutup material banjir 1 33",positif,2,positif,90,Menggambarkan upaya kolaborasi positif antara Polri dan warga dalam pemulihan akses jalan.,False
280,"Jembatan penghubung di Desa Alue Leuhob, Cot Girek, Aceh Utara, rusak parah sejak banjir November 2025. Hingga kini belum ada perbaikan. Anak-anak dan warga terpaksa melewati jalur alternatif dengan arus sungai yang sangat kencang. Baru-baru ini, satu anak terseret Editor: Tampilkan lebih banyak 0:50 1 1 363",negatif,0,negatif,95,Menggambarkan kerusakan infrastruktur yang belum tertangani dan bahaya yang dihadapi warga.,False
284,"Lebih dari satu bulan pascabencana banjir melanda sejumlah wilayah di Aceh, duka dan kelelahan masih dirasakan para korban. Banyak keluarga kini harus memulai hidup dari nol setelah rumah, harta benda, dan sumber penghidupan mereka rusak atau hilang. Di tengah keterbatasan dan Tampilkan lebih banyak 1 210",negatif,0,negatif,95,"Menggambarkan duka, kelelahan, dan kesulitan hidup para korban pasca-bencana.",False
285,"Kejagung gercep turunin Satgas PKH buat selidiki kerusakan hutan pemicu banjir di Sumatra. Sinergi TNI, Polri & Kejaksaan ini bukti Pemerintah Sigap untuk Aceh Sumatra. Jangan sampe ada yang main-main sama kelestarian hutan kita lagi! #AcehSumatraPulih 42",positif,2,positif,90,Mengapresiasi kesigapan pemerintah dan penegak hukum dalam menangani penyebab banjir dan menjaga lingkungan.,False
288,Pembangunan hunian korban banjir di Sumatera terus dikebut agar masyarakat segera menempati rumah yang layak dan aman. Aceh Sumatera Update 28,positif,2,positif,85,Menginformasikan percepatan pembangunan hunian untuk korban banjir.,False
293,Kerusakan hutan memperparah risiko banjir bandang Aceh Sumatera Update 25,negatif,0,netral,85,Menyajikan informasi faktual mengenai dampak kerusakan hutan terhadap risiko banjir.,True
309,Banjir bandang jadi alarm serius. Aceh Sumatera Update mencatat 12 perusahaan kini disorot terkait kerusakan lingkungan di wilayah Ace 16,negatif,0,netral,85,Menyajikan informasi faktual mengenai perusahaan yang disorot terkait kerusakan lingkungan.,True
315,Satgas PKH ungkap 12 perusahaan perusak lingkungan di Aceh. Perusahaan itu diduga berkontribusi atas banjir bandang di Aceh Aceh Sumatera Update 21,negatif,0,netral,85,Menyajikan informasi faktual mengenai pengungkapan perusahaan perusak lingkungan.,True
319,"Guna meringankan beban masyarakat dan memulihkan roda ekonomi, pemerintah memberikan bantuan uang tunai bagi keluarga korban banjir. Aceh Sumatera Update 25",positif,2,positif,90,Menginformasikan bantuan uang tunai dari pemerintah untuk meringankan beban korban banjir.,False
322,"Satgas PKH ungkap 12 perusahaan perusak lingkungan di Aceh, diduga berkontribusi atas banjir bandang, penegak hukum kini menyiapkan sanksi administratif hingga pidana, termasuk pencabutan izin dan penerapan UU Kehutanan. Aceh Sumatera Update 21",negatif,0,netral,85,Menyajikan informasi faktual mengenai pengungkapan perusahaan perusak lingkungan dan sanksi hukum.,True
327,Video: KemenPU Gerak Cepat Tangani Sungai Meureudu Terdampak Banjir Aceh Video: KemenPU Gerak Cepat Tangani Sungai Meureudu Terdampak Banjir Aceh Dari 20.detik.com 28,positif,2,positif,90,Mengapresiasi gerak cepat KemenPU dalam penanganan sungai terdampak banjir.,False
329,"Warga terdampak banjir dapatkan bantuan logistik dan kebutuhan pokok, distribusi berlangsung lancar. Aceh Sumatera Update 14",positif,2,positif,90,Menginformasikan kelancaran distribusi bantuan logistik kepada warga terdampak.,False
330,Pemerintah berkomitmen mengganti semua rumah warga yang terseret oleh banjir Aceh Sumatera Update 25,positif,2,positif,90,Menginformasikan komitmen pemerintah untuk mengganti rumah warga yang rusak akibat banjir.,False
334,"Pemerintah segera tangani warga terdampak banjir, bantuan langsung disalurkan. Pemulihan infrastruktur dimulai. Aceh Sumatera Update 16",positif,2,positif,90,"Menginformasikan penanganan cepat, penyaluran bantuan, dan dimulainya pemulihan infrastruktur.",False
351,TNI ikut bantu bangun hunian sementara supaya warga Aceh punya tempat berteduh lagi setelah banjir melanda #GerakCepat 18,positif,2,positif,90,Mengapresiasi bantuan TNI dalam pembangunan hunian sementara bagi korban.,False
356,Kerja bareng pemerintah dan TNI hasilkan pemulihan cepat bagi korban banjir di Aceh #GerakCepat 12,positif,2,positif,90,Mengapresiasi kolaborasi pemerintah dan TNI yang menghasilkan pemulihan cepat.,False
363,Membalas @Ghurem2 Sepertinya cuma jago berpidato terbukti kerja menangani bencana di Sumatera lemotnya kek hilang sinyal Lihat aceh sudah mau dia bulan masih belum bersih juga dari sisa sisa material bencana banjir bandang 29,negatif,0,negatif,95,Mengandung kritik keras terhadap lambatnya penanganan bencana dan kinerja pemerintah.,False
369,"Pemulihan listrik pasca banjir emang gak gampang, apalagi di area fasilitas kesehatan. Tapi PLN berhasil nyiapin langkah-langkah supaya 34 fasilitas kesehatan di Aceh bisa kembali beroperasi. Kerja keras yang patut dihargai 31",positif,2,positif,90,"Mengapresiasi kerja keras PLN dalam memulihkan listrik pasca-banjir, terutama di fasilitas kesehatan.",False
377,"Menyeberang jalan di Aceh kini mempertaruhkan nyawa . Pasca banjir dan longsor Aceh–Sumatra, ratusan jalan dan jembatan banyak yang rusak dan terputus. Warga diminta ekstra waspada @Prabowo menugaskan TNI, dipimpin KSAD Jenderal Maruli Simanjuntak, untuk percepatan Tampilkan lebih banyak 17 174 273 6 rb",negatif,0,negatif,90,Menggambarkan kondisi jalan yang berbahaya dan kerusakan infrastruktur yang parah.,False
378,Trimakasih pemerintah.. Atas huniannya untuk korban banjir.. Aceh.. 1 85,positif,2,positif,95,Mengucapkan terima kasih kepada pemerintah atas penyediaan hunian bagi korban banjir.,False
383,"Terjadi Lagi, Banjir Bandang Bawa Kayu Gelondongan Terjang Bener Meriah Aceh | BERUT Terjadi Lagi, Banjir Bandang Bawa Kayu Gelondongan Terjang Bener Meriah Aceh | BERUT Dari kompas.tv 1 1 648",netral,1,netral,85,Menyajikan informasi faktual mengenai kejadian banjir bandang.,False
387,"Di Tengah Lumpur dan Harapan, Polres Bener Meriah dan Brimob Polda Aceh Bersihkan Jalan Warga Kampung Setie Bener Meriah Sisa lumpur, bebatuan dan kayu masih menutupi badan jalan di Kampung Setie,Kecamatan TimangGajah, pascabencana banjir dan longsor yang melanda wilayah tersebut 30",positif,2,positif,90,Menggambarkan upaya kolaborasi positif antara Polres dan Brimob dalam membersihkan jalan.,False
394,Pemerintah siapkan skema bantuan untuk korban banjir di Aceh 13,positif,2,positif,85,Menginformasikan persiapan skema bantuan oleh pemerintah untuk korban banjir.,False
395,"𝐉𝐞𝐦𝐛𝐚𝐭𝐚𝐧 𝐑𝐮𝐬𝐚𝐤 𝐏𝐢𝐜𝐮 𝐈𝐧𝐬𝐢𝐝𝐞𝐧, 𝐒𝐞𝐨𝐫𝐚𝐧𝐠 𝐖𝐚𝐫𝐠𝐚 𝐍𝐲𝐚𝐫𝐢𝐬 𝐇𝐚𝐧𝐲𝐮𝐭 𝐓𝐞𝐫𝐛𝐚𝐰𝐚 𝐀𝐫𝐮𝐬 𝐒𝐮𝐧𝐠𝐚𝐢 Sebuah Jembatan penghubung antar dua desa di Desa Alue Leuhob, Kecamatan Cot Girek, Kabupaten Aceh Utara, dilaporkan rusak sejak banjir Tampilkan lebih banyak 2 116",negatif,0,negatif,90,Menggambarkan kerusakan jembatan yang memicu insiden berbahaya bagi warga.,False
410,"Membalas @cupang_fish dan @NenkMonica Saya pikir juga seperti itu, saya asli dari aceh, dan kondisi aceh hari ini benar2 memprihatinkan m, ditambah lagi dengan longsor dan banjir susulan yg baru terjadi, tapi media sudah tertutupi dengan isu “Mens rea”. Aceh lagi urgent woi !!! 2 695",negatif,0,negatif,95,"Mengungkapkan keprihatinan mendalam, kondisi darurat, dan kritik terhadap media.",False
411,Ya Allah Aceh banjir lagi 657,negatif,0,negatif,90,Ungkapan kesedihan atau keputusasaan atas kejadian banjir yang berulang.,False
431,"Akses Jalan Terputus, Sat Brimob Polda Sumbar Bangun Jembatan Alternatif Di Area Terdampak Bencana Banjir Di Padang 25",positif,2,positif,90,Mengapresiasi upaya Sat Brimob dalam membangun jembatan alternatif untuk akses jalan.,False
436,"Padang Butuh Rp5,5 Triliun untuk Rehabilitasi dan Rekonstruksi Pascabencana Banjir Bandang Padang Butuh Rp5,5 Triliun untuk Rehabilitasi dan Rekonstruksi Pascabencana Banjir Bandang - Padek... Dari padek.jawapos.com 22",netral,1,netral,85,Menyajikan informasi faktual mengenai kebutuhan dana untuk rehabilitasi pasca-bencana.,False
450,"Sumatera Utara menargetkan penanaman satu juta pohon sebagai langkah nyata untuk memulihkan lingkungan pascabencana banjir dan tanah longsor yang melanda sejumlah daerah. Mari sama-sama kita cintai alam, rawat hutan, dan hijaukan kembali alam Sumut. #KolaborasiSumutBerkah Tampilkan lebih banyak 3 183",positif,2,positif,95,Menginformasikan upaya pemulihan lingkungan dan ajakan positif untuk mencintai alam.,False
453,Kemenhut mengatakan pengoptimalan kayu hanyutan banjir terus dilakukan di Aceh Utara dan Sumatera Utara sebagai bagian dari strategi pemulihan cepat lingkungan dan penyediaan hunian bagi warga. Kemenhut terus optimalkan kayu banjir bangun huntara di Aceh Utara Dari antaranews.com 271,positif,2,positif,90,Menginformasikan upaya pengoptimalan sumber daya untuk pemulihan lingkungan dan penyediaan hunian.,False
454,Pemerintah menyiapkan hunian tetap (huntap) gratis bagi warga terdampak banjir dan longsor di wilayah utara Sumatera yang kehilangan rumah. Huntap tipe 36 ini dibangun dengan APBN dan akan menjadi hak milik penerima. Saat ini pemerintah menunggu pendataan korban serta kesiapan l 143,positif,2,netral,95,Memberikan informasi faktual tentang bantuan pemerintah berupa hunian tetap bagi warga terdampak.,True
481,"Bareskrim Polri telah menetapkan tersangka dalam kasus pembalakan liar yang diduga menyebabkan banjir hebat di Sumatera Utara. Penetapan mencakup korporasi dan individu, dan pelaku akan dijerat dengan pidana lingkungan hidup serta TPPU. Bareskrim Polri tetapkan tersangka kasus pembalakan liar di Sumut Dari antaranews.com 5 30 33 103",positif,2,netral,95,Memberikan informasi faktual tentang penetapan tersangka kasus pembalakan liar.,True
514,"Badan Nasional Penanggulangan Bencana (BNPB) mencatat korban meninggal akibat bencana banjir bandang dan longsor di sejumlah wilayah Sumatera mencapai 1.177 orang per 4 Januari 2026. Jumlah tersebut bertambah 10 korban dari hari sebelumnya, dengan sebaran di Aceh Utara, Tampilkan lebih banyak 148",netral,1,netral,90,Menyampaikan informasi faktual mengenai jumlah korban meninggal akibat bencana.,False
520,"Gubernur Aceh, Muzakir Manaf yang akrab disapa Mualem, meninjau langsung kesiapan bantuan alat berat di gudang transit Tanjung Morawa, Sumatera Utara. Alat-alat berat ini disiapkan khusus untuk menangani dampak kerusakan infrastruktur akibat banjir bandang yang melanda Aceh. Tampilkan lebih banyak 19 93 451 22 rb",positif,2,netral,95,Memberikan informasi faktual tentang peninjauan kesiapan bantuan alat berat oleh gubernur.,True
529,"Bersama kita dukung korban banjir di Sumatera Utara! Video bantuan logistik dan layanan terus mengalir demi kebangkitan mereka. Ayo, semangat terus! 8",positif,2,positif,98,Mengajak untuk mendukung korban banjir dan memberikan semangat.,False
542,"Operasi Aman Nusa II, Brimob Batalyon A Evakuasi Puluhan Warga Terdampak Banjir di Tapanuli Tengah Tapanuli Tengah – Personel Batalyon A Satuan Brimob Polda Sumatera Utara bergerak cepat melakukan evakuasi warga yang terdampak banjir 41",positif,2,netral,95,Memberikan informasi faktual tentang operasi evakuasi warga terdampak banjir oleh Brimob.,True
557,"Hujan deras yang kembali mengguyur Kota Sibolga, Sumatera Utara, membuat air Sungai Aek Doras meluap, Jumat (2/1/2026). Kondisi ini membuat warga sekitar cemas lantara banjir bandang yang dikhawatirkan akan kembali menerjang. 201",negatif,0,negatif,90,Menyatakan kecemasan warga akan potensi banjir bandang yang kembali menerjang.,False
559,"Sekretaris Kabinet (Seskab) Teddy Indra Wijaya menyebut, pembangunan rumah ini seiring dengan perbaikan fasilitas publik yang sempat rusak karena banjir bandang dan tanah longsor di Aceh, Sumatera Utara (Sumut), dan Sumatera Barat (Sumbar). Baca selengkapnya Tampilkan lebih banyak 1 826",negatif,0,netral,95,Memberikan informasi faktual tentang rencana pembangunan kembali fasilitas publik yang rusak.,True
580,"BREAKING NEWS Tetap Fokus Jgn Tinggalkan Saudara Kita Di Aceh,Sumatera Utara,Sumatera Barat Yg Masih Butuh Bantuan&Pertolongan. Yaa Allah Lindungilah Saudara2 Kami Yg Dilanda Musibah Banjir&Longsor,Berilah Kesehatan,Keselamatan&Kekuatan Cc @salimafillah #PrayForSumatera 1 1 3 108",positif,2,positif,98,Berisi doa dan seruan untuk tidak meninggalkan saudara yang membutuhkan bantuan.,False
593,"Bencana banjir bandang dan longsor melanda Aceh, Sumatera Utara, dan Sumatera Barat. Ribuan warga kehilangan rumah, harta benda, bahkan orang tercinta. Di tengah situasi sulit ini, Polri hadir menyalurkan bantuan kemanusiaan dan menerjunkan personel ke lokasi terdampak. 37",negatif,0,netral,90,Memberikan informasi faktual tentang bencana dan bantuan kemanusiaan yang disalurkan oleh Polri.,True
609,"Kapolri Jenderal Listyo Sigit Prabowo menyatakan Polri membuka layanan servis dan cuci motor gratis bagi warga terdampak bencana banjir dan longsor di Aceh, Sumatera Utara, dan Sumatera Barat. Layanan tersebut disiapkan agar kendaraan roda dua milik warga yang sempat rusak Tampilkan lebih banyak 1 1 182",negatif,0,netral,95,Memberikan informasi faktual tentang layanan gratis yang disediakan Polri untuk warga terdampak bencana.,True
615,"Setelah Sumatera, banjir juga melanda Kalimantan Selatan (Kalsel). Di provinsi ini, kejadian bencana ini berulang tiap tahun. Banjir Kalimantan Selatan, Buah Pembiaran Kerusakan Lingkungan? Dari mongabay.co.id 17",negatif,0,negatif,85,Menyampaikan informasi faktual tentang banjir berulang dan mengkritisi pembiaran kerusakan lingkungan sebagai penyebabnya.,False
626,BMKG Peringatkan Potensi Hujan Lebat Meluas hingga 14 Januari 2026 baca selengkapnya BMKG Peringatkan Potensi Hujan Lebat Meluas hingga 14 Januari 2026 Dari netralnews.com 1 59,netral,1,netral,95,Memberikan informasi faktual berupa peringatan potensi hujan lebat dari BMKG.,False
628,CUACA ekstrem yang melanda ibu kota pada Senin (12/1/2026) pagi menyebabkan kenaikan debit air yang signifikan di wilayah Jakarta Selatan. Banjir Cilandak Timur Hari Ini 12 Januari 2026 Titik Terparah Jakarta 95 Cm Dari mediaindonesia.com 392,negatif,0,netral,95,Memberikan informasi faktual tentang cuaca ekstrem dan banjir di Jakarta.,True
637,Walikota Cilegon Robinsar Tetapkan Status Siaga Banjir Usai Peringatan BMKG #bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia Berita Golkar - Walikota Cilegon Robinsar Tetapkan Status Siaga Banjir Usai Peringatan BMKG -... Dari golkarpedia.com 49,netral,1,netral,95,Memberikan informasi faktual tentang penetapan status siaga banjir oleh walikota.,False
642,Kapolsek Sindue Pimpin Giat Kurvei Pasca Banjir serta Longsor. . @DivHumas_Polri @humaspolsulteng #polseksindue #humaspolresdonggala #polriuntukmasyarakat 16,netral,1,netral,95,Memberikan informasi faktual tentang kegiatan kurvei pasca banjir dan longsor.,False
662,"Akun komentar Membalas @Aceh potret Pendidikan yang Hanyut, di mana narasi besar soal Sekolah Rakyat dan Makan Bergizi Gratis di Jakarta terasa seperti ejekan bagi belasan ribu pelajar di Aceh yg jangankan makan siang, meja untuk belajarnya saja mungkin sudah jadi kayu bakar di tengah banjir. 3 109",negatif,0,negatif,95,"Mengungkapkan kritik dan rasa sedih atas kondisi pendidikan di Aceh yang terdampak banjir, membandingkannya dengan janji di Jakarta.",False
682,"Membalas @nccamelia Sudah runtuh, lalu hanyut terbawa banjir sebab banyak hutan gundul. 1 8",negatif,0,negatif,90,Menyatakan kerusakan akibat banjir dan mengaitkannya dengan penyebab negatif yaitu hutan gundul.,False
683,Hari Ketiga Pasca Banjir Desa Wani: Tim SAR Gabungan Fokus Bersihkan Lumpur dan Evakuasi Pohon Tumbang Tim Produksi Humas Korps Brimob Polri #PrayForSumatra #Polriuntukmasyarakat #BrimobUntukNusadanBangsa #Jiwaragakudemikemanusiaan #humaskorbrimobpolri 1 34,positif,2,netral,85,Memberikan informasi faktual tentang kegiatan pasca banjir dengan sedikit sentimen positif melalui hashtag.,True
696,Membalas @psi_id Kita butuh titik terang kapan banjir bisa dikurangi signifikan 131,negatif,0,negatif,80,"Mengungkapkan kebutuhan akan solusi yang signifikan untuk mengurangi banjir, menyiratkan ketidakpuasan.",False
706,"Membalas @loucagj masih banjir? partnerku ngeluh kmaren naek gojek doang, slain bbrp kali kena cancel sampe telat krja... HARGANYA.G NGOTAK 70",negatif,0,negatif,95,"Mengeluh tentang banjir yang masih terjadi, pembatalan layanan, dan harga yang tidak masuk akal.",False
745,"Cuaca Riau Didominasi Cerah Berawan, Hujan Turun Malam Hari Cuaca Riau Didominasi Cerah Berawan, Hujan Turun Malam Hari Dari goriau.com 34",netral,1,netral,95,Memberikan informasi faktual tentang prakiraan cuaca di Riau.,False
764,"Membalas @G0LIATH87 dan @temanduit Iya, pernah lihat juga yang di Jambi. Semoga aja ada koordinasi dan solusi untuk masalah banjir ini. 1 25",positif,2,positif,90,Menyatakan harapan akan adanya koordinasi dan solusi untuk masalah banjir.,False
770,"Kisah Pilu Banjir Aceh Tamiang: Dikira Biasa Ternyata Bencana Besar, Warga Terpaksa Lahiran Darurat di Tengah Kepungan Air Kisah Pilu Banjir Aceh Tamiang: Dikira Biasa Ternyata Bencana Besar, Warga Terpaksa Lahiran Darurat... Dari bangbara.com 27",negatif,0,negatif,95,Menggambarkan kisah pilu dan bencana besar dengan situasi darurat yang menyedihkan.,False
773,"Upaya ini dilakukan agar proses pendidikan tetap berjalan tanpa harus menunggu pengadaan baru yang memerlukan waktu dan biaya besar. #HematAnggaran #DisdikAceh #MobilerBekasBanjir Alasan Hemat Anggaran, Disdik Aceh Sulap Mobiler Bekas Banjir Demi Percepat Pemulihan KBM -... Dari aceh.tribunnews.com 30",positif,2,netral,85,Memberikan informasi faktual tentang upaya pemulihan pendidikan pasca banjir dengan efisiensi anggaran.,True
791,Membalas @kemenkumjabar Dukungan moral bagi pegawai Lapas yang terdampak banjir sangat penting untuk menjaga integritas pelayanan. Taruna Poltekpin hadir membantu membersihkan rumah dinas mereka sebagai bentuk solidaritas sesama keluarga besar Kementerian Hukum. Kemenkum Jabar - Asep Sutandar 1 1 33,positif,2,positif,95,Menyatakan dukungan moral dan solidaritas serta bantuan nyata untuk pegawai terdampak banjir.,False
828,"Membalas @infomitigasi Rumah sy dari bukit kalau selatan 300 meter kalau utara 500 meter,dg sungai 400 meter,sementara ini aman dari banjir besar,setelah dibangun waduk sermo 1 30",netral,1,netral,90,Memberikan informasi faktual tentang kondisi rumah yang aman dari banjir setelah pembangunan waduk.,False
830,"Membalas @Excel_Dee Orang jawa kuno lebih percaya bilang kalau pohon besar itu di tebang nanti mbahe ngamuk.. sebaliknya kalau bilang pohon itu ditebang dapat menyebabkan banjir longsor, mungkin tak akan percaya 1 155",netral,1,negatif,80,"Mengaitkan penebangan pohon besar dengan potensi banjir dan longsor, menyiratkan dampak negatif.",True
835,"Akun komentar Banjir bandang yang membawa tumpukan kayu gelondongan besar menerjang Damaran Baru, Kabupaten Bener Meriah, Provinsi Aceh Dari Weather Monitor 1 4 197",negatif,0,netral,90,Memberikan informasi faktual tentang kejadian banjir bandang yang membawa kayu gelondongan.,True
838,"Banjir besar akhir November 2025 sempat melumpuhkan RSUD Muda Sedia, Aceh Tamiang. Air setinggi tiga meter dan lumpur tebal merendam bangunan, merusak fasilitas, hingga membuat mobil ambulans tak bisa digunakan. Namun harapan tak ikut tenggelam. TNI, Polri, BPBD, relawan dan Tampilkan lebih banyak 2 5 1 967",negatif,0,positif,85,Menggambarkan dampak negatif banjir namun diakhiri dengan pesan harapan dan bantuan dari berbagai pihak.,True
862,"Membalas @rikywolf444 Ini baru aksi nyata, bukan sekadar wacana. Semoga langkah ini menjadi awal yang baik untuk pemulihan hutan kita secara berkelanjutan. Aceh Sumatra Bangkit! 9",positif,2,positif,98,Mengapresiasi aksi nyata dan menyatakan harapan untuk pemulihan hutan serta semangat kebangkitan.,False
870,Negara Hadir tanpa menunggu. Semangat untuk Aceh Sumatra Bangkit 1 35,netral,1,positif,98,Mengapresiasi kehadiran negara dan memberikan semangat untuk kebangkitan Aceh dan Sumatera.,True
