id,text_with_emoticon,sentimen_old,label_old,label_llm,confidence,reason,need_review,arah,kategori,kategori_manual
593,"Bencana banjir bandang dan longsor melanda Aceh, Sumatera Utara, dan Sumatera Barat. Ribuan warga kehilangan rumah, harta benda, bahkan orang tercinta. Di tengah situasi sulit ini, Polri hadir menyalurkan bantuan kemanusiaan dan menerjunkan personel ke lokasi terdampak. 37",negatif,0,netral,90,Memberikan informasi faktual tentang bencana dan bantuan kemanusiaan yang disalurkan oleh Polri.,True,negatif -> netral,Lainnya,
609,"Kapolri Jenderal Listyo Sigit Prabowo menyatakan Polri membuka layanan servis dan cuci motor gratis bagi warga terdampak bencana banjir dan longsor di Aceh, Sumatera Utara, dan Sumatera Barat. Layanan tersebut disiapkan agar kendaraan roda dua milik warga yang sempat rusak Tampilkan lebih banyak 1 1 182",negatif,0,netral,95,Memberikan informasi faktual tentang layanan gratis yang disediakan Polri untuk warga terdampak bencana.,True,negatif -> netral,Lainnya,
628,CUACA ekstrem yang melanda ibu kota pada Senin (12/1/2026) pagi menyebabkan kenaikan debit air yang signifikan di wilayah Jakarta Selatan. Banjir Cilandak Timur Hari Ini 12 Januari 2026 Titik Terparah Jakarta 95 Cm Dari mediaindonesia.com 392,negatif,0,netral,95,Memberikan informasi faktual tentang cuaca ekstrem dan banjir di Jakarta.,True,negatif -> netral,Sarkasme,
683,Hari Ketiga Pasca Banjir Desa Wani: Tim SAR Gabungan Fokus Bersihkan Lumpur dan Evakuasi Pohon Tumbang Tim Produksi Humas Korps Brimob Polri #PrayForSumatra #Polriuntukmasyarakat #BrimobUntukNusadanBangsa #Jiwaragakudemikemanusiaan #humaskorbrimobpolri 1 34,positif,2,netral,85,Memberikan informasi faktual tentang kegiatan pasca banjir dengan sedikit sentimen positif melalui hashtag.,True,positif -> netral,Sarkasme,
773,"Upaya ini dilakukan agar proses pendidikan tetap berjalan tanpa harus menunggu pengadaan baru yang memerlukan waktu dan biaya besar. #HematAnggaran #DisdikAceh #MobilerBekasBanjir Alasan Hemat Anggaran, Disdik Aceh Sulap Mobiler Bekas Banjir Demi Percepat Pemulihan KBM -... Dari aceh.tribunnews.com 30",positif,2,netral,85,Memberikan informasi faktual tentang upaya pemulihan pendidikan pasca banjir dengan efisiensi anggaran.,True,positif -> netral,Lainnya,
830,"Membalas @Excel_Dee Orang jawa kuno lebih percaya bilang kalau pohon besar itu di tebang nanti mbahe ngamuk.. sebaliknya kalau bilang pohon itu ditebang dapat menyebabkan banjir longsor, mungkin tak akan percaya 1 155",netral,1,negatif,80,"Mengaitkan penebangan pohon besar dengan potensi banjir dan longsor, menyiratkan dampak negatif.",True,netral -> negatif,Lainnya,
835,"Akun komentar Banjir bandang yang membawa tumpukan kayu gelondongan besar menerjang Damaran Baru, Kabupaten Bener Meriah, Provinsi Aceh Dari Weather Monitor 1 4 197",negatif,0,netral,90,Memberikan informasi faktual tentang kejadian banjir bandang yang membawa kayu gelondongan.,True,negatif -> netral,Lainnya,
838,"Banjir besar akhir November 2025 sempat melumpuhkan RSUD Muda Sedia, Aceh Tamiang. Air setinggi tiga meter dan lumpur tebal merendam bangunan, merusak fasilitas, hingga membuat mobil ambulans tak bisa digunakan. Namun harapan tak ikut tenggelam. TNI, Polri, BPBD, relawan dan Tampilkan lebih banyak 2 5 1 967",negatif,0,positif,85,Menggambarkan dampak negatif banjir namun diakhiri dengan pesan harapan dan bantuan dari berbagai pihak.,True,negatif -> positif,Mixed sentiment,
870,Negara Hadir tanpa menunggu. Semangat untuk Aceh Sumatra Bangkit 1 35,netral,1,positif,98,Mengapresiasi kehadiran negara dan memberikan semangat untuk kebangkitan Aceh dan Sumatera.,True,netral -> positif,Apresiasi,
872,"10 Wilayah Aceh dengan Kehilangan Tutupan Pohon Terluas, 10 Wilayah Aceh dengan Kehilangan Tutupan Pohon Terluas Dari ajnn.net 5",negatif,0,netral,90,Memberikan informasi faktual tentang wilayah dengan kehilangan tutupan pohon terluas.,True,negatif -> netral,Lainnya,
984,"Pasca banjir bandang yang melanda sejumlah wilayah di Aceh, Kementerian PU bergerak cepat melakukan penanganan Sungai Krueng Meureudu melalui pembersihan kayu dan sedimen, pengerukan, serta pembuatan alur pandu sungai. #pu608 #SigapMembangunNegeriUntukRakyat 28",positif,2,netral,95,Memberikan informasi faktual tentang penanganan cepat pasca banjir oleh Kementerian PU.,True,positif -> netral,Sarkasme,
1073,Pemprov Sumatera Utara Siapkan Rp430 Miliar untuk Pemulihan Pascabencana Pemprov Sumatera Utara Siapkan Rp430 Miliar untuk Pemulihan Pascabencana - Teritorial24 Dari teritorial24.com 3,positif,2,netral,90,Menyampaikan informasi faktual mengenai anggaran pemulihan pascabencana.,True,positif -> netral,Lainnya,
1081,"Duduk Bersama Forkopimda Se-Sumatera Utara, Mendagri: Percepatan Pemulihan Pascabencana Prioritas Utama Duduk Bersama Forkopimda Se-Sumatera Utara, Mendagri: Percepatan Pemulihan Pascabencana Prioritas... Dari tintaindependen.com 4",positif,2,netral,90,Menyampaikan informasi faktual tentang prioritas percepatan pemulihan pascabencana.,True,positif -> netral,Lainnya,
1097,"Membalas @wakekefriend 5. Model ini relevan untuk wilayah rawan bencana seperti Aceh, Sumatera Utara, dan Sumatera Barat—di mana masyarakat butuh solusi cepat, bukan janji jangka panjang tanpa hasil nyata. 1 43",netral,1,negatif,85,Mengkritik janji tanpa hasil nyata dan menekankan kebutuhan solusi cepat.,True,netral -> negatif,Lainnya,
1146,"Di tengah duka pascabencana, harapan kembali tumbuh di Kecamatan Batang Toru, Kabupaten Tapanuli Selatan. Satuan Brimob Polda Sumatera Utara hadir bukan hanya membawa bantuan, tetapi juga membangun harapan melalui pembuatan hunian sementara bagi masyarakat terdampak bencana. 47",negatif,0,positif,95,Mengandung harapan dan melaporkan upaya pembangunan hunian sementara.,True,negatif -> positif,Mixed sentiment,
1271,"Membalas @beritaKBR Mereka turun ke lokasi, membuka donasi, menyisir titik pengungsian, menembus akses yang cuma bisa dilewati dengan berjalan kaki, motor trail, atau jembatan darurat. Di banyak wilayah Sumatra, banjir dan longsor memutus jalan, jembatan, bahkan harapan. Negara belum sepenuhnya Tampilkan lebih banyak 1 52",netral,1,negatif,85,Mengungkapkan kondisi sulit dan kritik terhadap kehadiran negara yang belum sepenuhnya.,True,netral -> negatif,Lainnya,
1319,Membalas @penjagaharapan Menjaga pasokan pangan ditengah bencana Sumatra itu hal yg bagus 4,netral,1,positif,90,Mengapresiasi upaya menjaga pasokan pangan di tengah bencana.,True,netral -> positif,Apresiasi,
1345,"Bagaimana pun kondisinya, tetap maju ke depan demi warga yang terdampak #aceh #sumatra 4",netral,1,positif,90,Mengandung semangat untuk terus maju demi warga terdampak.,True,netral -> positif,Lainnya,
1362,Menteri Kesehatan Budi Gunadi Sadikin memastikan rehabilitasi rumah tenaga kesehatan (nakes) korban banjir Sumatra akan dituntaskan sebelum Ramadhan 2026. Pemerintah menargetkan para nakes sudah bisa kembali menempati rumah masing-masing agar pelayanan kesehatan berjalan normal Tampilkan lebih banyak 1 1 293,negatif,0,positif,95,Menyampaikan komitmen pemerintah untuk rehabilitasi dan pemulihan layanan kesehatan.,True,negatif -> positif,Lainnya,
1385,"Hujan deras yang mengguyur Kota Bandar Lampung sejak Kamis sore mengakibatkan tujuh kecamatan terdampak banjir. BPBD Kota Bandar Lampung bersama tim gabungan Damkar, Satpol PP, dan Forkopimda melakukan evakuasi di wilayah terdampak. 1 74",negatif,0,netral,90,Laporan faktual mengenai dampak banjir dan upaya evakuasi.,True,negatif -> netral,Lainnya,
1469,"Berdasarkan data BNPB, terdapat puluhan ribu rumah yang terdampak di tiga provinsi Sumatera. Rinciannya: 76.588 rusak ringan, 45.106 rusak sedang, dan 53.432 rusak berat. Penanganan serius terus berjalan! #DataBNPB #Sumatera Semua Rumah Korban Bencana Sumatera akan Diganti Pemerintah Dari kompasiana.com 15",negatif,0,netral,95,Menyajikan informasi faktual tentang dampak banjir dan upaya penanganan pemerintah.,True,negatif -> netral,Informational,
1471,"Membalas @albert_morafia @BukeLeadee dan @WeatherMonitors Amiiin Page. kasihan orang, pasien, sawah kebun rumah ternak warga yg terendam. Semua terhalang. Pula bukan kayak di Jawa yg BNPB n BPBD sibuk dan turun. Jangan² malah dianggap rutinitas biasa. Tapi semoga ngga lah dan semoga surut gaceh² 1 1 2 30",positif,2,negatif,90,Mengungkapkan rasa kasihan dan kritik terhadap penanganan bencana yang dianggap kurang sigap.,True,positif -> negatif,Sarkasme,
1478,"Badan Nasional Penanggulangan Bencana (BNPB) mencatat adanya penambahan korban jiwa akibat bencana dalam dua hari terakhir. Kepala Pusat Data, Informasi, dan Komunikasi Kebencanaan BNPB, Abdul Muhari, menyebutkan penambahan korban meninggal berasal dari Aceh Utara sebanyak 1 Tampilkan lebih banyak 356",negatif,0,netral,95,Menyampaikan informasi faktual mengenai penambahan korban jiwa berdasarkan data BNPB.,True,negatif -> netral,Kritik,
1482,"Badan Nasional Penanggulangan Bencana (BNPB) kembali memperbarui data korban bencana alam yang melanda sejumlah wilayah di Sumatera #BNPB #bencanaalam #sumatera Update Korban Bencana Sumatera: 1.182 Meninggal-145 Hilang, Ratusan Ribu Masih Mengungsi Dari mistar.id 24",negatif,0,netral,95,"Melaporkan data terbaru mengenai jumlah korban meninggal, hilang, dan mengungsi akibat bencana.",True,negatif -> netral,Sarkasme,
1497,"Sejak 30 November 2025 hingga 6 Januari 2026, pemerintah telah mendistribusikan 1.788 ton bantuan logistik untuk korban banjir dan longsor di Aceh. Upaya ini dilakukan agar kebutuhan dasar warga terdampak tetap terpenuhi 1 44",negatif,0,netral,95,Memberikan informasi faktual tentang distribusi bantuan logistik oleh pemerintah.,True,negatif -> netral,Lainnya,
1499,Respons cepat pemerintah dengan mendistribusikan 1.780 ton bantuan logistik untuk korban banjir dan longsor di Aceh. 19,negatif,0,positif,85,Mengapresiasi respons cepat pemerintah dalam mendistribusikan bantuan.,True,negatif -> positif,Lainnya,
1510,"Membalas @Aceh @pln_123 dan 3 lainnya Kasihan banget. Moga saudara2ku di Aceh tabah hadapi semua keadaan ini. Maklum pemerintah kita Superman, ga butuh bantuan negara lain. Seandainya terbuka menerima bantuan dan jadikan bencana Sumatera dan Aceh bencana nasional, mgkin sikon di daerah terdampak banjir jauh LBH baik 2 372",positif,2,negatif,90,Mengungkapkan rasa kasihan dan kritik sarkastik terhadap kebijakan pemerintah terkait penanganan bencana.,True,positif -> negatif,Sarkasme,
1514,Amarah warga terdampak banjir bandang di Kabupaten Aceh Tamiang mencuat setelah muncul dugaan ketidakadilan dalam penyaluran bantuan. Sejumlah ibu-ibu dan warga lainnya mendatangi sebuah posko bantuan untuk menyampaikan protes secara langsung. 1 176,positif,2,negatif,95,Melaporkan kemarahan dan protes warga akibat dugaan ketidakadilan dalam penyaluran bantuan.,True,positif -> negatif,Kritik,
1516,"Aktor Nicholas Saputra menyalurkan bantuan kepada anak-anak korban bencana longsor dan banjir di Aceh. Ia datang langsung ke salah satu sekolah di Desa Kelitu, Kecamatan Bintang, Aceh Tengah. Dalam unggahan video di Instagram @leuser .coffee, Nicholas Saputra tampak mengenakan Tampilkan lebih banyak 1 4 563",negatif,0,positif,90,Melaporkan tindakan positif penyaluran bantuan oleh seorang aktor kepada korban bencana.,True,negatif -> positif,Informational,
1532,"Pantau Bantuan Banjir Aceh, Megawati Minta Tim Bergerak Cepat Video: Pantau Bantuan Banjir Aceh, Megawati Minta Tim Bergerak Cepat Dari cnbcindonesia.com 394",positif,2,netral,85,Melaporkan instruksi seorang tokoh politik untuk mempercepat pergerakan tim bantuan.,True,positif -> netral,Lainnya,
1538,"Membalas @Iunatico_feliz Buat donasi banjir kak, kebetulan pagi tadi baru bagi2 bantuan sembako di sana, yang udah 1 bulanan terendam,, yang dibutuhkan saat ini adalah ibat2an, pembalut, popok.. Sekalian juga perbaikan motor aku yang sering kena banjir karena kerja kurir. Hee 433",negatif,0,netral,80,"Berisi permintaan donasi dan daftar kebutuhan, serta informasi tentang penyaluran bantuan.",True,negatif -> netral,Lainnya,
1547,"Tim SAR Resimen II Pasukan Pelopor BKO Polda Sumatera Barat terus bergerak membantu masyarakat terdampak bencana banjir di wil Sumatera Barat. Pada Jumat, (9/1), tim melaksanakan kegiatan pencarian korban sekaligus penyaluran bantuan kemanusiaan di Kecamatan Palembayan, Kab Agam. 108",negatif,0,positif,90,Melaporkan tindakan positif tim SAR dalam membantu korban bencana dan menyalurkan bantuan.,True,negatif -> positif,Lainnya,
1602,"Bencana Sumut 2025 jadi pengingat agar TPL konsisten mengelola 46 ribu hektar lahan eukaliptusnya, industri lestari seperti TPL harus didukung, pokoknya terus semangat! Pelajaran dari Banjir Sumatera: Penguatan Lanskap dan Tata Kelola Berbasis Ilmiah Mendesak Dilaku... Dari jawapos.com 39",netral,1,positif,85,Mengajak untuk mendukung industri lestari dan memberikan semangat untuk perbaikan tata kelola lingkungan.,True,netral -> positif,Sarkasme,
1609,"Banjir dan longsor Sumut jadi pengingat pentingnya pengelolaan hutan yang berkelanjutan. Dalam konteks itu, TPL bisa jadi contoh praktik industri lestari yang perlu terus didukung dan diawasi secara adil. 1:54 24",netral,1,positif,85,Menggunakan bencana sebagai pengingat pentingnya pengelolaan hutan berkelanjutan dan mendukung praktik industri lestari.,True,netral -> positif,Sarkasme,
1625,"Satgas PKH Temukan 12 Perusahaan Pemicu Banjir Bandang di Aceh, Sumut, dan Sumbar jurnallugas.com Satgas PKH Temukan 12 Perusahaan Pemicu Banjir Bandang di Aceh, Sumut, dan Sumbar Satgas PKH mengungkap 12 perusahaan diduga jadi penyebab banjir bandang di Aceh, Sumut, dan Sumbar. Proses hukum kini berjalan. 22",negatif,0,netral,95,Melaporkan temuan investigasi mengenai penyebab banjir dan proses hukum yang sedang berjalan.,True,negatif -> netral,Lainnya,
1634,"Bantu Korban Banjir dan Longsor, TIDAR Sumut dan Tapteng Turun Langsung ke Lokasi Bantu Korban Banjir dan Longsor, TIDAR Sumut dan Tapteng Turun Langsung ke Lokasi Dari fajar.co.id 11",netral,1,positif,90,Melaporkan tindakan positif organisasi dalam membantu korban banjir dan longsor.,True,netral -> positif,Lainnya,
1646,"[UPDATE ] Banjir Sumatra: 543 Korban Jiwa di Aceh, 371 di Sumut [UPDATE ] Banjir Sumatra: 543 Korban Jiwa di Aceh, 371 di Sumut Dari sumut.idntimes.com 37",negatif,0,netral,95,Menyampaikan informasi faktual mengenai jumlah korban jiwa akibat banjir.,True,negatif -> netral,Informational,
1654,"Membalas @msaid_didu Bang Said sudah mengunjungi saudara-saudara kita di Aceh, Sumut & Sumbar yang menjadi Korban Bencana Banjir & Longsor? 20",negatif,0,netral,80,Mengajukan pertanyaan faktual mengenai kunjungan ke korban bencana.,True,negatif -> netral,Lainnya,
1667,Sebanyak 100 keluarga korban banjir bandang di Gampong Geunteng diusulkan masuk huntara Pidie Jaya karena rumah rusak berat dan tertimbun lumpur. #gta777aceh #portalberitaacehterkini 100 Keluarga Korban Banjir Masuk Huntara Pidie Jaya Dari gta777aceh.com 33,negatif,0,netral,90,Melaporkan informasi faktual tentang usulan relokasi korban banjir ke hunian sementara.,True,negatif -> netral,Lainnya,
1726,Banjir rob makin sering datang dan dampaknya kian terasa. Jumlah kasus pun terus meningkat bahkan puluhan ribu rumah terendam menjadi korban tiap tahunnya. Yuk simak data pada infografis ini biar tahu separah apa banjir rob yang terjadi di pesisir pantai Indonesia! 1 97,negatif,0,netral,85,"Menyajikan informasi faktual tentang peningkatan frekuensi dan dampak banjir rob, serta ajakan untuk melihat data.",True,negatif -> netral,Sarkasme,
1797,"Pesan Natal Prabowo membawa makna persatuan Presiden Perkuat Solidaritas dengan seruan nyata membantu korban banjir bandang dan longsor di berbagai wilayah Sumatera Pesan Natal 2025, Presiden Prabowo Ajak Gotong Royong untuk Sumatra Dari kabar24.bisnis.com 10",negatif,0,positif,90,"Menyoroti pesan persatuan dan ajakan untuk membantu korban bencana, yang bernada positif.",True,negatif -> positif,Lainnya,
1799,"Pesan Natal Prabowo menempatkan kepedulian sebagai nilai utama. Presiden Perkuat Solidaritas dengan mengajak rakyat Indonesia bersatu membantu korban banjir bandang dan longsor di Sumatera. Natal bukan sekadar simbol, tetapi aksi nyata. Pesan Natal 2025, Presiden Prabowo Ajak Gotong Royong untuk Sumatra Dari kabar24.bisnis.com 18",negatif,0,positif,90,"Menekankan nilai kepedulian, solidaritas, dan ajakan aksi nyata untuk membantu korban bencana.",True,negatif -> positif,Mixed sentiment,
1823,Tim Tanggap Darurat Bencana UM beraksi di Kabupaten Agam. Bantuan kesehatan dan edukasi diberikan kepada masyarakat. #jatim1news #UM #Malang #Jatim #Agam #banjir #Sumatra #nasional JATIM SATU NEWS: Tim Tanggap Darurat Bencana UM Beraksi di Kabupaten Agam: Bantuan Kesehatan dan... Dari jatimsatunews.com 36,negatif,0,positif,90,Melaporkan tindakan positif tim tanggap darurat dalam memberikan bantuan kesehatan dan edukasi.,True,negatif -> positif,Lainnya,
1832,"Pengungsi Banjir Bandang di Sumatra Menurun rakyatterkini.com rakyatterkini.com - info berita, olahraga, politik: Pengungsi Banjir Bandang di Sumatra Menurun Anak-anak korban banjir dan longsor di Sumatra lokasi pengungsian Akademi Maritim Sapta Samudra, Kecamatan Koto Tengah, Kota Padang. Jakarta... 13",negatif,0,netral,90,Melaporkan informasi faktual mengenai penurunan jumlah pengungsi banjir.,True,negatif -> netral,Informational,
1855,Kepedulian sosial nasional terus ditingkatkan Budi Arie Setiadi melalui gerakan Projo Peduli Bencana yang fokus pada bantuan sandang pangan bagi korban banjir Sumatra demi menjaga janji Setia Digaris Rakyat Projo: Solidaritas Nasional Kunci Mengatasi Banjir Sumatera Dari rmol.id 34,negatif,0,positif,90,"Menyoroti peningkatan kepedulian sosial dan gerakan bantuan untuk korban banjir, menekankan solidaritas.",True,negatif -> positif,Lainnya,
1869,Budi Arie Setiadi mengajak seluruh komponen bangsa untuk bersatu dalam Projo Peduli Bencana guna mempercepat pemulihan fasilitas umum di Sumatra sebagai bentuk dedikasi yang selalu Setia Digaris Rakyat PROJO Serukan Persatuan Nasional untuk Ringankan Derita Korban Banjir Sumatera Dari news.fin.co.id 103,negatif,0,positif,90,Mengajak persatuan nasional untuk mempercepat pemulihan fasilitas umum dan meringankan penderitaan korban banjir.,True,negatif -> positif,Lainnya,
1887,"Personel Polres Mojokerto memberikan donasi yang akan digunakan membantu korban Bencana Alam Banjir dan Tanah Longsor di pulau Sumatra pada Selasa, 16 Desember 2025. @divisihumaspolri #PolriUntukMasyarakat #PolriPresisi #HumasPolri #HumasPoldaJatim #PoldaJatim #PolriPeduli 2 3 114",negatif,0,positif,95,Tweet ini melaporkan tindakan bantuan berupa donasi untuk korban bencana.,True,negatif -> positif,Sarkasme,
1889,"Membalas @Iqbal_langdon Presiden Prabowo Subianto memimpin Sidang Kabinet Paripurna di Istana Negara, Jakarta, Senin (15/12/2025), membahas perkembangan strategis nasional dan penanganan bencana banjir serta tanah longsor di Aceh, Sumatra Utara, dan Sumatra Barat. Foto: BPMI Setpres/Laily Rachev 1 141",positif,2,netral,90,Tweet ini memberikan informasi faktual tentang rapat kabinet yang membahas penanganan bencana.,True,positif -> netral,Lainnya,
1906,"""Kemensos berdagang timpanan filantropi salurkan aid logistik korban bangkai dan landslip Kemensos Gandeng Filantropi Salurkan Bantuan Logistik Korban Banjir Sumatra Dari thecuy.com 33",negatif,0,positif,95,Tweet ini melaporkan penyaluran bantuan logistik oleh Kemensos untuk korban banjir.,True,negatif -> positif,Lainnya,
1909,"Laporan jumlah korban meninggal dunia pada bencana banjir bandang dan longsor di Aceh, Sumatra Utara, dan Sumatra Barat perhari Jumat, 12 Desember 2025, mencapai 995 jiwa. Jumlah masyarakat yang mengungsi tercatat 884.800 jiwa. Hal terungkap dari data Badan Nasional Tampilkan lebih banyak 77",negatif,0,netral,90,Tweet ini menyajikan data faktual mengenai jumlah korban meninggal dan pengungsi akibat bencana.,True,negatif -> netral,Informational,
1910,"Presiden Prabowo Subianto melanjutkan agenda peninjauan penanganan bencana banjir ke Kabupaten Langkat, Sumatra Utara, pada Sabtu (13/12/2025). Kunjungan ini dilakukan sehari setelah Kepala Negara menyambangi wilayah terdampak banjir di Provinsi Aceh. Presiden Prabowo yang Tampilkan lebih banyak 1 4 986",positif,2,netral,90,Tweet ini melaporkan kunjungan presiden untuk meninjau penanganan bencana banjir.,True,positif -> netral,Lainnya,
1911,"Presiden Prabowo Subianto melanjutkan agenda peninjauan penanganan bencana banjir ke Kabupaten Langkat, Sumatra Utara, pada Sabtu (13/12/2025). Kunjungan ini dilakukan sehari setelah Kepala Negara menyambangi wilayah terdampak banjir di Provinsi Aceh. Presiden Prabowo bertolak Tampilkan lebih banyak 928",positif,2,netral,90,Tweet ini melaporkan kunjungan presiden untuk meninjau penanganan bencana banjir.,True,positif -> netral,Lainnya,
1918,Prabowo Tanpa Lelah menegaskan pemulihan infrastruktur dan kebutuhan dasar adalah langkah prioritas Pemulihan Pasca Bencana bagi masyarakat yang ingin segera bangkit Prabowo Setujui Bantuan Rp60 Juta per Rumah untuk Korban Banjir Bandang di Aceh & Sumatra ·... Dari ifakta.co 27,negatif,0,positif,95,Tweet ini melaporkan persetujuan bantuan dan penegasan prioritas pemulihan pasca bencana.,True,negatif -> positif,Lainnya,
1933,"Tidak tepat menyalahkan Pemerintahan Presiden Prabowo. WWF Indonesia menilai musibah banjir bandang dan tanah longsor yg melanda Aceh, Sumatra Utara & Sumatra Barat adalah akumulasi dari tata kelola lingkungan yg bermasalah selama bertahun-tahun lampau. WWF Indonesia Sebut Banjir Sumatra Bukan Kesalahan Menhut Sekarang, Ini Alasannya Dari suara.com 2 10 16 805",negatif,0,netral,85,"Tweet ini menyajikan pandangan dari WWF Indonesia mengenai penyebab banjir, bersifat informatif.",True,negatif -> netral,Sarkasme,
1962,"Intelektual Muda jangan lupa dengerin Info Aktual hari ini, Selasa, 9 Desember 2025, yang akan membahas mengenai Ferry Irwandi yang menghimpun 10M dalam waktu 24 jam untuk korban banjir di Sumatra, barengan sama aku Rista dan Exau #InfoAktual 75",negatif,0,positif,90,Tweet ini menginformasikan upaya penggalangan dana yang berhasil untuk korban banjir.,True,negatif -> positif,Informational,
1981,gakuat sesegukan baca berita #PrayForSumatera 68,positif,2,negatif,90,Tweet ini mengekspresikan kesedihan dan emosi negatif setelah membaca berita bencana.,True,positif -> negatif,Lainnya,
2011,Membalas @MOQEELFORTRESS SEGERA TETAPKAN JADI BENCANA NASIONAL #AllEyesOnSumatera #PrayForSumatera 1 1 72,positif,2,negatif,85,"Tweet ini berisi tuntutan kepada pemerintah, menyiratkan ketidakpuasan atau urgensi yang belum ditangani.",True,positif -> negatif,Lainnya,
