id,text_with_emoticon,sentimen_old,label_llm,confidence,reason,review_label
1178,"Aceh Sumatra Pulih, bantuan terus berdatangan dari pemerintah dan seluruh masyarakat Indonesia 6",positif,positif,79,(dry-run) label simulasi untuk id 1178,
1182,"Melalui kerja sama lintas sektor, pemerintah, aparat, relawan, dan warga bahu-membahu menangani dampak bencana di Aceh. Kolaborasi ini menjadi fondasi kuat untuk pemulihan berkelanjutan dan membangun harapan baru. Aceh Sumatra Bangkit. 11",positif,positif,59,(dry-run) label simulasi untuk id 1182,
1198,"Upaya pembersihan kayu ilegal oleh Kemenhut menunjukkan komitmen serius memulihkan kawasan terdampak. Langkah ini menjadi bagian dari proses pemulihan ekosistem dan ekonomi lokal. Aceh Sumatra Pulih lewat kerja nyata, bukan sekadar wacana. 2 3 14",positif,positif,62,(dry-run) label simulasi untuk id 1198,
1201,"Bergerak Bersama, Pulihkan Aceh dan Sumatra Mari bangkit dan pulih bersama! @kkpgoid @swtrenggono #TarunaKKP #2026KKPGrowStronger #kkpterus5F6HW 6",positif,positif,74,(dry-run) label simulasi untuk id 1201,
1206,Kondisi yang menantang di lapangan tak menyurutkan semangat insan Telkom untuk menyalurkan bantuan kemanusiaan dan melakukan aksi sosial. Hal ini menjadi bentuk nyata untuk mendukung pemulihan masyarakat terdampak becana di wilayah Sumatra. Dengan semangat gotong royong dan Tampilkan lebih banyak 3 3 9 329,positif,netral,88,(dry-run) label simulasi untuk id 1206,
1212,Berbagai langkah rehabilitasi terus didorong agar Aceh Sumatra Pulih dan aktivitas warga kembali normal 1 16,positif,positif,71,(dry-run) label simulasi untuk id 1212,
1224,Tindakan nyata di lapangan ini mencerminkan komitmen bahwa Pemerintah Sigap untuk Aceh Sumatra dalam menghadapi kondisi darurat. 0:38 8,positif,positif,71,(dry-run) label simulasi untuk id 1224,
1243,"Warga Aceh Tamiang sudah huni rumah sementara, Pemerintah Sigap untuk Aceh Sumatra #Aceh #Sumatra 14",positif,positif,64,(dry-run) label simulasi untuk id 1243,
1254,"Membalas @bsbsjsnwu784998 Dengan kerja bersama dan gotong royong, Aceh Sumatra Bangkit dari bencana menuju kehidupan yang lebih aman dan tangguh 10",positif,netral,71,(dry-run) label simulasi untuk id 1254,
1268,"Selain bantuan darurat, pembangunan hunian sementara di Aceh dan Sumatra menjadi prioritas utama kami. #PemerintahHadir #AcehSumatraBangkit #PemerintahBarengWarga #BersamaPulihkanSumutAceh #PemerintahSigapAcehSumatra 1 9",positif,positif,64,(dry-run) label simulasi untuk id 1268,
1269,"Pulihkan Anak, Bangkitkan Masa Depan, KPAI Kawal Ketat Penanganan Anak Pascabencana di Sumatra Pulihkan Anak, Bangkitkan Masa Depan, KPAI Kawal Ketat Penanganan Anak Pascabencana di Sumatra -... Dari lombokpost.jawapos.com 3",positif,netral,87,(dry-run) label simulasi untuk id 1269,
1312,Pendistribusian Genset ke Desa terisolir di Aceh Aceh Sumatra Bangkit 11,positif,negatif,83,(dry-run) label simulasi untuk id 1312,
1319,Membalas @penjagaharapan Menjaga pasokan pangan ditengah bencana Sumatra itu hal yg bagus 4,netral,netral,69,(dry-run) label simulasi untuk id 1319,
1361,Pemerintah Sigap untuk bencana Aceh dan Sumatra. #PemerintahHadir #AcehSumatraBangkit #PemerintahBarengWarga #AcehSumatraPulih 1 1 28,positif,positif,71,(dry-run) label simulasi untuk id 1361,
1362,Menteri Kesehatan Budi Gunadi Sadikin memastikan rehabilitasi rumah tenaga kesehatan (nakes) korban banjir Sumatra akan dituntaskan sebelum Ramadhan 2026. Pemerintah menargetkan para nakes sudah bisa kembali menempati rumah masing-masing agar pelayanan kesehatan berjalan normal Tampilkan lebih banyak 1 1 293,negatif,netral,78,(dry-run) label simulasi untuk id 1362,
1367,"Membalas @BobbieTrussell Upaya berkelanjutan dalam pemulihan sosial dan ekonomi menunjukkan keseriusan pemerintah. Aceh Sumatra Pulih bukan sekadar slogan, melainkan tujuan bersama 12",positif,negatif,75,(dry-run) label simulasi untuk id 1367,
1385,"Hujan deras yang mengguyur Kota Bandar Lampung sejak Kamis sore mengakibatkan tujuh kecamatan terdampak banjir. BPBD Kota Bandar Lampung bersama tim gabungan Damkar, Satpol PP, dan Forkopimda melakukan evakuasi di wilayah terdampak. 1 74",negatif,netral,77,(dry-run) label simulasi untuk id 1385,
1389,"Banjir susulan akibat hujan deras merendam lima kecamatan di Aceh Timur setelah sungai meluap, dengan ketinggian air mencapai dada orang dewasa di sejumlah lokasi. BPBD menyiagakan tim pemantauan dan evakuasi serta mengimbau warga tetap waspada. #MERONA4D 19",netral,netral,56,(dry-run) label simulasi untuk id 1389,
1439,Membalas @Aceh @humasaceh dan 3 lainnya Seburuk-buruknya manusia adalah yang menimbun logistik ketika bencana. Laknat Allah untuk kalian para penimbun. 7 42 1 rb,negatif,negatif,65,(dry-run) label simulasi untuk id 1439,
1445,"Percepat Perbaikan Rumah Nakes Terdampak Bencana Sumatera, BNPB Siapkan Skema Reimburse Pemerintah menyediakan Dana Siap Pakai (DSP) untuk membantu perbaikan rumah tenaga kesehatan (nakes) terdampak bencana di Sumatera. Dana tersebut digunakan untuk perbaikan rumah kategori Tampilkan lebih banyak 76",positif,positif,78,(dry-run) label simulasi untuk id 1445,
1448,"Membalas @kemenkumjabar Sinergi lintas instansi di Aceh membuat gerak Kemenkum lebih efisien. Kami bekerja sama dengan TNI, Polri, dan BNPB untuk memastikan proses pemulihan infrastruktur berjalan selaras dengan rencana besar penanganan bencana. Kemenkum Jabar - Asep Sutandar 1 1 15",positif,positif,76,(dry-run) label simulasi untuk id 1448,
1467,Update terbaru nih! BNPB lagi kebut jembatan darurat biar gak ada lagi daerah yang terisolasi pasca bencana. Semangat terus buat tim lapangan. #BNPB #UpdateTerbaru #InfoWarga #JembatanDarurat 15,positif,positif,71,(dry-run) label simulasi untuk id 1467,
1469,"Berdasarkan data BNPB, terdapat puluhan ribu rumah yang terdampak di tiga provinsi Sumatera. Rinciannya: 76.588 rusak ringan, 45.106 rusak sedang, dan 53.432 rusak berat. Penanganan serius terus berjalan! #DataBNPB #Sumatera Semua Rumah Korban Bencana Sumatera akan Diganti Pemerintah Dari kompasiana.com 15",negatif,netral,58,(dry-run) label simulasi untuk id 1469,
