strategy,batch_size,dropout,learning_rate,units,val_f1_macro
Class Weight,32,0.2,0.0002,64,0.6252095158900616
Class Weight,32,0.3,5e-05,32,0.15260171214944165
Class Weight,32,0.3,5e-05,64,0.2333019755409219
Class Weight,32,0.3,0.0001,32,0.15219134317680003
Class Weight,32,0.3,0.0001,64,0.6011074417379031
Class Weight,32,0.3,0.0002,32,0.6138658482358812
Class Weight,32,0.3,0.0002,64,0.6237288020098348
Random Oversampling,16,0.2,5e-05,32,0.595823620511447
Random Oversampling,16,0.2,5e-05,64,0.6441149383504545
Random Oversampling,16,0.2,0.0001,32,0.5066156758934731
Random Oversampling,16,0.2,0.0001,64,0.6232060957715857
Random Oversampling,16,0.2,0.0002,32,0.5332978741061026
Random Oversampling,16,0.2,0.0002,64,0.506055275909627
Random Oversampling,16,0.3,5e-05,32,0.5341638420156994
Random Oversampling,16,0.3,5e-05,64,0.37651624155221275
Random Oversampling,16,0.3,0.0001,32,0.5830047101909858
Random Oversampling,16,0.3,0.0001,64,0.6475320427225622
Random Oversampling,16,0.3,0.0002,32,0.6282360956274
Random Oversampling,16,0.3,0.0002,64,0.6301315067103206
Random Oversampling,32,0.2,5e-05,32,0.5173287279140041
Random Oversampling,32,0.2,5e-05,64,0.37098800972482954
Random Oversampling,32,0.2,0.0001,32,0.524891235155767
Random Oversampling,32,0.2,0.0001,64,0.4069078839265175
Random Oversampling,32,0.2,0.0002,32,0.4710052087829865
Random Oversampling,32,0.2,0.0002,64,0.6646569445126627
Random Oversampling,32,0.3,5e-05,32,0.5011625668213741
Random Oversampling,32,0.3,5e-05,64,0.37783622173345605
Random Oversampling,32,0.3,0.0001,32,0.49239966486165576
Random Oversampling,32,0.3,0.0001,64,0.6112033014024906
Random Oversampling,32,0.3,0.0002,32,0.3621763414087602
Random Oversampling,32,0.3,0.0002,64,0.5588523937184489
Random Undersampling,16,0.2,5e-05,32,0.24908433723721493
Random Undersampling,16,0.2,5e-05,64,0.10767844167157202
Random Undersampling,16,0.2,0.0001,32,0.2380377358490566
Random Undersampling,16,0.2,0.0001,64,0.17469382670656888
Random Undersampling,16,0.2,0.0002,32,0.5539428176499139
Random Undersampling,16,0.2,0.0002,64,0.500481414196945
Random Undersampling,16,0.3,5e-05,32,0.24784915532138316
Random Undersampling,16,0.3,5e-05,64,0.11218372664366204
Random Undersampling,16,0.3,0.0001,32,0.24697675748306125
Random Undersampling,16,0.3,0.0001,64,0.2393491855896922
Random Undersampling,16,0.3,0.0002,32,0.5519542218526824
Random Undersampling,16,0.3,0.0002,64,0.23953586014733386
Random Undersampling,32,0.2,5e-05,32,0.27069617410484176
Random Undersampling,32,0.2,5e-05,64,0.1086355785837651
Random Undersampling,32,0.2,0.0001,32,0.2723091102504049
Random Undersampling,32,0.2,0.0001,64,0.5662679714872537
Random Undersampling,32,0.2,0.0002,32,0.4978818398409042
Random Undersampling,32,0.2,0.0002,64,0.6276453162103829
Random Undersampling,32,0.3,5e-05,32,0.16359227231058396
Random Undersampling,32,0.3,5e-05,64,0.10708183809530013
Random Undersampling,32,0.3,0.0001,32,0.15247887772995375
Random Undersampling,32,0.3,0.0001,64,0.10312517055812076
Random Undersampling,32,0.3,0.0002,32,0.5595356239857519
Random Undersampling,32,0.3,0.0002,64,0.10311581422692534
SMOTE,16,0.2,5e-05,32,0.5594899244828947
SMOTE,16,0.2,5e-05,64,0.5732335541938132
SMOTE,16,0.2,0.0001,32,0.48181058707374497
SMOTE,16,0.2,0.0001,64,0.47190454653141223
SMOTE,16,0.2,0.0002,32,0.5295296509505504
SMOTE,16,0.2,0.0002,64,0.538087660435708
SMOTE,16,0.3,5e-05,32,0.4738070706661688
SMOTE,16,0.3,5e-05,64,0.5532933167479605
SMOTE,16,0.3,0.0001,32,0.49175946355535755
SMOTE,16,0.3,0.0001,64,0.5788419985270449
SMOTE,16,0.3,0.0002,32,0.5685667104106821
SMOTE,16,0.3,0.0002,64,0.5059758026301507
SMOTE,32,0.2,5e-05,32,0.5417015436398559
SMOTE,32,0.2,5e-05,64,0.5281464530892448
SMOTE,32,0.2,0.0001,32,0.5649460868271365
SMOTE,32,0.2,0.0001,64,0.5833885774174811
SMOTE,32,0.2,0.0002,32,0.49979682761266836
SMOTE,32,0.2,0.0002,64,0.5608438698644199
SMOTE,32,0.3,5e-05,32,0.10235998474219281
SMOTE,32,0.3,5e-05,64,0.5754218193980466
SMOTE,32,0.3,0.0001,32,0.5618829639233143
SMOTE,32,0.3,0.0001,64,0.5874304093025479
SMOTE,32,0.3,0.0002,32,0.5730006894992088
SMOTE,32,0.3,0.0002,64,0.5876535218691091
